,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
572,1685577600,184.19,188.82,184.15,187.01,7504,0,10233430000,42.41007023859338,5.228571428571426,-4.435586897644237,6.274285714285711,8.365714285714281,208.7419152677955,194.31966666666665,179.8974180655378,0.1484383834999941,1
416,1665964800,189.47,195.88,188.96,192.61,7241,0,10136550000,30.430197021300344,8.328571428571427,-12.656448394703428,9.994285714285713,13.325714285714284,276.9468457041835,225.07933333333327,173.2118209624832,0.4608820508103823,1
104,1626912000,279.37,282.12,276.89,281.6,3883,0,4635400000,64.87970190277053,4.232142857142874,4.168978655717101,5.078571428571448,6.771428571428598,285.9539311626754,273.67366666666663,261.39340217065785,0.0897438518333303,1
772,1710806400,194.85,196.89,194.85,196.63,3336,0,4966010000,45.94863953097967,4.244285714285714,1.4812138728323725,5.0931428571428565,6.790857142857142,209.86945733930088,195.794,181.7185426606991,0.1437782295606698,1
861,1721952000,210.06,214.12,210.06,213.85,4083,0,6223940000,71.45069882773535,4.597857142857145,8.995922528032624,5.517428571428574,7.356571428571432,216.73699495788236,200.9223333333333,185.10767170878435,0.1574206447056556,1
899,1726704000,234.54,234.56,227.7,232.35,7280,1,1240768,52.81424695807716,4.91857142857143,3.959731543624159,5.902285714285716,7.869714285714288,244.07421048283643,228.77066666666667,213.4671228504969,0.1337893886410533,1
63,1621814400,250.62,253.95,250.24,252.81,3280,0,4659120000,60.74348531631431,4.6878571428571405,1.5790742526518833,5.625428571428569,7.500571428571425,256.07496233541656,248.80166666666668,241.5283709979168,0.0584666153261288,1
467,1672272000,211.0,216.7,210.13,215.77,3499,0,5057360000,53.18426146557317,5.815714285714279,1.7447069363889365,6.978857142857135,9.305142857142846,223.7290669531235,215.52966666666663,207.33026638020985,0.0760860480440295,1
615,1691020800,190.12,190.23,183.68,185.74,8051,0,12012650000,43.287601054594056,6.259999999999997,-4.282401442927082,7.511999999999996,10.015999999999996,198.8146463284468,190.83466666666664,182.85468700488653,0.0836323902901653,1
516,1678665600,198.2,200.99,195.58,196.51,4727,0,7288110000,42.04709603585153,6.164285714285713,-3.9728303362001545,7.397142857142855,9.86285714285714,231.53604229912537,207.85066666666668,184.165291034208,0.2279076224512985,1
808,1715212800,181.96,187.76,181.96,186.45,7996,0,11831810000,58.69403319423548,4.28071428571428,8.806022408963571,5.136857142857136,6.849142857142849,196.86871586192407,180.604,164.3392841380759,0.1801146803163173,1
186,1637020800,262.23,262.33,258.63,259.03,7893,0,12068670000,26.64119669691692,5.789285714285707,-9.233302964468436,6.947142857142848,9.262857142857133,291.38769299913906,274.3043333333333,257.2209736675276,0.1245577090103503,1
45,1619568000,253.0,254.66,251.41,251.69,3907,0,4827750000,67.24692555790381,3.5999999999999965,4.440018258019,4.319999999999996,5.7599999999999945,260.8325504195288,240.998,221.16344958047128,0.1646034441740489,1
386,1662076800,260.98,260.98,250.48,250.84,3621,0,4914930000,35.37938050386626,5.678571428571424,-10.897982381358332,6.814285714285709,9.08571428571428,284.63626391135494,267.7386666666667,250.84106942197843,0.1262245566175593,1
656,1696204800,163.51,164.0,160.61,161.71,6247,0,8987470000,30.548553521653943,3.957142857142864,-9.765080073656604,4.748571428571436,6.331428571428582,189.45856531081745,175.12,160.7814346891826,0.1637570273049042,1
517,1678752000,198.78,200.01,195.35,198.77,6935,0,8784510000,44.89634570525803,6.032857142857141,-0.275938189845466,7.239428571428569,9.652571428571427,230.79815472637324,207.2093333333333,183.6205119402934,0.2276810702835772,1
22,1616630400,226.14,228.47,226.09,227.22,4295,0,8020230000,60.88392118235846,5.445714285714284,13.632726545309056,6.534857142857141,8.713142857142854,238.5948533782495,218.60766666666663,198.62047995508385,0.182858973030066,1
122,1629158400,282.17,286.73,281.17,286.58,2510,0,3211550000,62.24823572935298,4.201428571428579,0.5932114149320783,5.041714285714295,6.722285714285727,287.51228741673714,281.82233333333335,276.1323792499296,0.040379724460473,1
689,1700092800,196.87,199.85,195.15,199.12,8542,0,15613180000,72.92511149362424,5.387142857142853,15.72034637066311,6.464571428571423,8.619428571428564,199.04709827484567,174.2113333333333,149.3755683918209,0.2851222646231861,1
891,1725840000,235.53,239.21,235.08,238.68,3276,1,618179,72.76459986644181,4.428571428571426,8.63905325443788,5.314285714285711,7.085714285714282,236.55631226052117,225.30033333333333,214.04435440614552,0.0999197716279852,1
901,1727049600,236.45,236.88,233.19,236.22,2209,1,308774,58.07270280367987,4.572857142857144,2.5171426091485163,5.487428571428572,7.3165714285714305,244.95784989996372,229.61,214.26215010003628,0.1336862497274834,1
950,1733097600,208.39,208.51,205.71,207.35,5421,25030,920515,49.21655684901564,3.361428571428565,5.69375063716994,4.033714285714279,5.378285714285705,227.94867459052807,208.013,188.07732540947188,0.1916771989301447,1
372,1660521600,278.13,282.47,278.13,281.52,4055,0,5281060000,67.70173717153875,5.709285714285725,8.736964078794903,6.85114285714287,9.13485714285716,281.6882600045627,263.398,245.10773999543724,0.1388792625954847,1
650,1695340800,169.0,169.77,165.91,166.33,10031,0,16266060000,27.689686481763687,4.132857142857146,-7.962594068171749,4.959428571428576,6.612571428571434,187.5565240163565,178.911,170.26547598364348,0.0966460867845634,1
359,1658880000,259.13,261.24,255.42,258.26,5247,0,6424180000,53.45765132489592,6.335714285714293,0.4590010891551295,7.602857142857152,10.13714285714287,268.25421175380995,253.297,238.33978824619004,0.1181001887413586,1
906,1727654400,230.52,232.77,228.75,232.55,3955,1,687397,51.21822737279852,4.368571428571433,-4.178169681486665,5.242285714285719,6.989714285714292,245.22382054632547,231.519,217.81417945367448,0.1183904607943667,1
847,1720396800,194.78,197.39,194.51,196.2,3331,0,5006780000,56.13560232980701,3.703571428571434,-0.4313625983253096,4.444285714285721,5.925714285714295,201.4948532671301,193.774,186.0531467328698,0.0796892593137383,1
411,1665360000,196.04,198.08,188.96,189.65,6897,0,9518170000,17.3825082210259,7.82571428571429,-20.278279877254185,9.390857142857149,12.521142857142864,279.4537598041137,236.21633333333327,192.97890686255292,0.3660832920454023,1
194,1638144000,264.99,269.31,261.5,266.87,5073,0,8478730000,46.63033258473848,5.79928571428571,-4.237835510262668,6.959142857142852,9.278857142857136,292.88193390852086,273.25933333333336,253.63673275814585,0.1436188863950057,1
439,1668643200,218.5,219.58,214.38,216.43,5012,0,10492070000,55.99979533050079,6.2735714285714295,5.756169069142439,7.528285714285715,10.037714285714287,223.9213731016808,200.60933333333332,177.29729356498592,0.2324123148309559,1
554,1683244800,195.2,197.64,193.63,196.68,3273,0,4447630000,42.66947167038356,4.422142857142857,-5.818129579083467,5.306571428571428,7.075428571428572,213.83032300852452,202.768,191.70567699147543,0.1091131047159763,1
657,1696291200,161.04,161.97,157.72,158.1,4880,0,7106720000,27.18310021325587,4.0578571428571495,-10.622420713437728,4.869428571428579,6.49257142857144,190.18282024203648,174.55499999999998,158.92717975796347,0.1790589813186274,1
368,1660003200,272.48,277.33,270.46,276.2,3781,0,5124910000,66.11294953581026,5.94285714285715,10.58173519638066,7.13142857142858,9.50857142857144,275.2052014731712,260.37966666666665,245.5541318601621,0.1138762868567915,1
682,1699315200,186.65,187.63,185.17,185.44,4944,0,6765850000,64.51796326856376,5.446428571428571,13.892642181550183,6.535714285714286,8.714285714285714,186.75697636307828,167.541,148.3250236369217,0.2293883450985524,1
606,1689897600,184.92,186.04,181.6,184.9,12343,0,21134200000,39.64676081004634,5.141428571428569,-4.636649646706887,6.169714285714282,8.22628571428571,198.98678713113796,191.128,183.2692128688621,0.0822358537852948,1
668,1697587200,166.78,167.55,162.7,162.82,5248,0,7405470000,43.24837446128163,4.510714285714288,0.2524475093898138,5.4128571428571455,7.217142857142861,185.524819377931,168.61200000000002,151.69918062206904,0.200612285933753,1
751,1708041600,186.56,187.61,185.01,187.11,4773,0,6652450000,32.13282548741938,4.588571428571427,-6.022099447513803,5.5062857142857125,7.341714285714284,215.77785616467764,199.33,182.8821438353224,0.1650314168933691,1
44,1619481600,253.32,254.55,251.63,252.5,4696,0,6438140000,69.29255060369128,3.752142857142853,3.183359895386372,4.502571428571423,6.003428571428565,260.51295784188864,240.03633333333332,219.55970882477808,0.1706127087028932,1
11,1615334400,202.7,205.68,201.35,204.5,9232,0,14963360000,32.27592430646334,5.903571428571427,-10.409182511171467,7.084285714285712,9.445714285714285,245.68379973489635,221.92933333333332,198.17486693177037,0.2140723449647305,1
614,1690934400,190.39,191.94,188.13,190.63,6235,0,11971650000,50.001956884372696,5.994285714285711,-3.154846575899212,7.1931428571428535,9.590857142857136,198.7231959219434,190.95533333333333,183.18747074472327,0.0813579013794855,1
529,1680134400,201.65,202.74,200.02,201.19,4937,0,6301900000,51.38417833587695,5.465000000000002,5.180886658301964,6.558000000000002,8.744000000000003,208.94294914447656,198.464,187.98505085552344,0.1056005033101878,1
712,1703030400,211.02,214.51,209.27,211.05,9453,0,14443040000,67.05301802416142,4.3778571428571365,1.1163280950555827,5.253428571428564,7.004571428571419,221.01402008764825,202.3743333333333,183.73464657901843,0.1842099879693068,1
96,1626048000,279.05,280.66,277.74,280.08,4249,0,6072550000,71.64966462877943,3.8400000000000114,4.608948980354065,4.608000000000014,6.144000000000019,280.24976452991734,268.934,257.6182354700827,0.0841527254264415,1
50,1620172800,245.0,249.65,244.03,248.71,8039,0,11940720000,56.16291145242147,4.312857142857142,0.6271241301181467,5.17542857142857,6.900571428571428,259.38190591849065,245.40033333333332,231.41876074817608,0.1139490920427217,1
