,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
41,1619049600,179.66,180.43,178.66,178.95,2186,0,2534040000,70.71952837065318,2.324285714285716,5.376280767871862,2.7891428571428585,3.718857142857145,178.9406400403804,169.84066666666666,160.74069329295293,0.1071589455259683,1
632,1693180800,115.92,117.91,115.71,115.78,2550,0,3475900000,41.90179947317905,2.457857142857144,-5.485714285714285,2.949428571428572,3.93257142857143,128.1850422307493,120.37266666666666,112.56029110258402,0.1298031485123861,1
846,1720137600,117.64,118.06,116.33,116.82,1266,0,1676920000,49.22655574404071,1.874999999999999,-0.1794411689310501,2.2499999999999987,2.9999999999999982,120.10222520543113,116.65133333333333,113.20044146123551,0.059165922471487,1
586,1687392000,113.11,113.16,110.08,110.87,2828,0,4365540000,34.27323244592644,3.160000000000001,-1.326094695621213,3.7920000000000016,5.056000000000003,124.51593621794213,117.17833333333334,109.84073044872456,0.1252382189757851,1
827,1717632000,115.35,116.99,114.55,116.41,1731,0,2545350000,41.41069221652839,2.274285714285716,-6.19661563255439,2.7291428571428584,3.638857142857145,125.38250500970436,119.481,113.57949499029564,0.0987856648287906,1
173,1635379200,206.25,208.66,204.04,205.88,1735,0,1989760000,61.44003355621645,3.200714285714284,6.972877481035014,3.840857142857141,5.121142857142854,210.12150295448345,198.21366666666663,186.30583037884983,0.1201515161700938,1
417,1666051200,135.69,137.65,132.61,133.81,2582,0,3138030000,38.27507525219193,4.547857142857136,-5.186707291149999,5.457428571428562,7.276571428571417,159.9158839056862,143.12966666666665,126.3434494276471,0.234559579854438,1
163,1634169600,199.78,201.07,198.86,200.88,1413,0,2043120000,59.21775874991308,3.257142857142855,2.804503582395081,3.9085714285714257,5.211428571428568,207.4530494389243,197.2603333333333,187.0676172277424,0.1033427849720517,1
264,1646870400,190.33,191.62,189.46,191.38,1596,0,1973100000,49.626229740203705,4.662142857142856,2.9312106706825087,5.5945714285714265,7.459428571428569,196.4706906484391,189.437,182.4033093515609,0.074258889746344,1
438,1668556800,149.15,149.94,147.31,147.47,1637,0,2718780000,54.65896583242292,3.8507142857142873,3.742525501231089,4.620857142857145,6.16114285714286,154.1155578625274,140.2253333333333,126.33510880413922,0.1981129115403886,1
490,1675296000,165.0,172.65,165.0,170.83,3706,0,4834130000,73.41144394471212,3.7628571428571393,9.58368080056452,4.515428571428567,6.020571428571423,166.60084108880798,152.468,138.335158911192,0.1853876366031953,1
683,1699401600,100.65,100.99,98.75,99.96,2698,0,4186590000,52.810619055831374,2.979999999999999,5.498680738786273,3.5759999999999987,4.767999999999999,103.90573242267246,97.42466666666664,90.94360091066083,0.1330477378625359,1
423,1666742400,140.36,141.66,138.6,140.14,2726,0,3365490000,52.32465186784081,4.643571428571429,0.6608245941674957,5.572285714285714,7.429714285714287,150.66306970811527,138.76066666666665,126.85826362521804,0.1715529815093895,1
569,1685059200,111.51,112.44,110.68,111.77,2852,0,4319560000,33.62842283497436,3.1385714285714275,-8.654789146779997,3.7662857142857127,5.0217142857142845,127.55348375514168,120.30366666666669,113.05384957819166,0.1205252888685855,1
274,1648080000,190.38,192.03,190.09,191.87,1181,0,1807850000,50.116118577016735,3.852142857142852,-1.4180753224066132,4.622571428571422,6.163428571428563,196.20125446085285,189.686,183.1707455391472,0.068695153684013,1
112,1627948800,203.65,205.19,202.8,204.89,2860,0,3726090000,75.56012554466463,2.7892857142857133,7.649871276204473,3.347142857142856,4.462857142857142,204.90651415827335,191.1833333333333,177.4601525083933,0.1435604305634038,1
66,1622073600,178.02,178.02,175.78,176.2,2556,0,3101350000,51.87453672769058,2.79785714285714,-0.9667266187050352,3.357428571428568,4.476571428571424,182.29892655317576,177.05866666666668,171.8184067801576,0.0591923568065094,1
472,1672963200,143.28,148.13,143.28,147.61,2138,0,2783990000,51.32804308666324,3.977857142857143,-1.8615783525031464,4.773428571428571,6.364571428571429,155.80576207734006,148.472,141.13823792265995,0.0987898334681294,1
492,1675641600,166.11,168.18,165.06,167.26,2475,0,3195340000,66.07639181961355,4.064285714285712,7.094378281470089,4.877142857142855,6.50285714285714,169.45411051953792,153.91166666666666,138.3692228137954,0.20196576633183,1
739,1706659200,121.9,125.05,119.12,120.9,4328,0,5264210000,44.66068870227713,3.54785714285714,-6.380672138764118,4.257428571428568,5.676571428571425,131.804889077642,125.991,120.177110922358,0.0922905457952075,1
421,1666569600,133.37,133.56,130.43,132.6,4635,0,7641270000,39.95383855109647,4.6114285714285685,-8.891026521918372,5.533714285714282,7.37828571428571,153.48788524237645,139.59866666666667,125.7094480909569,0.1989878400325186,1
27,1617235200,165.13,169.83,164.14,169.82,2303,0,3133780000,58.21182423694231,3.210000000000004,3.909930857247743,3.8520000000000048,5.136000000000006,171.64861880764676,164.44433333333333,157.2400478590199,0.0876197474036412,1
341,1656547200,144.5,146.56,141.86,145.18,3889,0,4658640000,44.018267322379394,4.642142857142853,-3.483579311261788,5.570571428571424,7.427428571428566,175.9314007929854,150.81733333333335,125.70326587368132,0.3330395373606751,1
799,1714089600,117.01,118.91,116.19,116.21,2595,0,3297380000,39.238888864219305,3.611428571428573,-8.293876262626267,4.333714285714287,5.778285714285716,130.86578992302694,122.62866666666666,114.39154341030638,0.1343425396404366,1
156,1633392000,195.15,195.15,192.01,192.17,1543,0,2169860000,37.53217762006311,2.925714285714282,-3.3690350480213285,3.5108571428571387,4.681142857142851,211.38658512372584,199.64,187.8934148762741,0.1176776710451397,1
608,1690243200,124.96,125.79,122.54,123.71,3230,0,4790800000,64.36097733457929,2.730714285714288,5.762161237924249,3.276857142857146,4.369142857142861,124.97854867172629,117.39433333333334,109.81011799494038,0.1292092237000585,1
642,1694476800,112.05,113.0,110.59,111.77,3432,0,4828500000,33.01540231430697,2.173571428571428,-2.324565236389068,2.6082857142857137,3.477714285714285,124.46761220491244,117.81933333333332,111.17105446175422,0.112855482771573,1
880,1724284800,115.89,118.79,115.46,118.38,4379,0,6494420000,55.34296652831852,2.6457142857142872,4.465231203671022,3.1748571428571446,4.23314285714286,128.76246348452105,118.022,107.28153651547896,0.1820078203135186,1
575,1686009600,116.08,119.03,115.25,118.2,2533,0,3563830000,51.31785606828237,3.0228571428571422,0.5957446808510662,3.6274285714285694,4.836571428571428,125.87841039759071,118.39466666666668,110.91092293574262,0.1264202846568096,1
140,1631491200,200.98,202.06,199.34,199.97,1534,0,1708090000,40.65603037732715,3.04642857142857,-3.0730454170907877,3.655714285714284,4.874285714285712,209.9529838911094,205.41966666666667,200.88634944222397,0.0441371295943042,1
