,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
414,1665619200,81.18,86.84,79.55,86.42,16729,0,30785750000,44.474940858201016,3.932142857142859,3.497005988023954,4.718571428571431,6.291428571428575,101.04800871274342,90.22666666666667,79.40532462058992,0.2398701502750868,1
536,1681171200,82.0,84.51,81.91,83.41,12112,0,20025340000,45.94248342945895,2.923571428571429,-3.994014732965008,3.5082857142857145,4.677714285714287,92.42595103248276,85.78133333333334,79.13671563418391,0.1549198978600492,1
484,1674604800,86.61,89.02,85.59,88.84,14143,0,22464080000,63.04855887645737,2.942857142857141,13.926647858425238,3.531428571428569,4.7085714285714255,89.83137375717075,79.68166666666666,69.53195957616256,0.2547563954193753,1
386,1662076800,96.61,96.95,92.92,93.89,10953,0,19378920000,37.902331711431735,3.4935714285714305,-13.608759661391243,4.192285714285717,5.589714285714289,110.8132689367839,101.514,92.21473106321608,0.1832115557811514,1
76,1623369600,94.13,95.43,93.77,95.42,9448,0,18624380000,73.61342951115374,1.3721428571428578,5.1575931232091765,1.6465714285714292,2.1954285714285726,96.0787969867859,90.33866666666668,84.59853634654743,0.1270802532718194,1
172,1635292800,141.19,142.71,136.31,136.41,11077,0,19311530000,64.69300404092746,3.735714285714288,18.288241415192516,4.482857142857145,5.97714285714286,141.25874940341234,124.12966666666668,107.000583929921,0.2759869287773646,1
894,1726099200,144.05,146.98,142.71,146.52,7057,1,1090323,66.95993512282934,3.6971428571428566,8.605737158105415,4.436571428571428,5.915428571428571,145.984836876875,136.48466666666667,126.98449645645836,0.1392122711250834,1
559,1683849600,83.67,84.15,82.23,82.85,9093,0,12859170000,44.83322487729865,2.837142857142858,-6.510945610471689,3.4045714285714297,4.539428571428573,92.18865318660536,85.17333333333333,78.1580134800613,0.1647304286147158,1
702,1701820800,116.0,117.27,111.05,112.13,18466,0,36701190000,63.62380973352033,2.4221428571428567,7.507190795781399,2.906571428571428,3.875428571428571,117.7010825531847,102.57033333333334,87.43958411348197,0.2950316866121399,1
263,1646784000,114.72,117.34,112.92,116.17,12984,0,21148700000,44.12321592739114,6.49,-8.383280757097788,7.788,10.384,140.1735209671658,125.105,110.0364790328342,0.2408939845276497,1
130,1630022400,122.3,124.69,122.23,124.24,10461,0,17417910000,75.94968057926103,2.3678571428571424,8.753501400560225,2.8414285714285707,3.788571428571428,123.36154922822644,113.823,104.28445077177356,0.1676031949294333,1
874,1723593600,133.37,136.5,133.37,136.16,10071,0,15405740000,55.839342921400494,4.314285714285711,-2.784520919605887,5.1771428571428535,6.902857142857139,146.6570200410591,133.158,119.65897995894088,0.2027519193898843,1
582,1686787200,90.0,93.17,89.98,92.67,8897,0,15490930000,65.96213279808268,2.8792857142857144,10.95545977011495,3.455142857142857,4.606857142857144,91.76995649853082,85.27,78.77004350146917,0.1524558812837063,1
48,1620000000,88.6,88.92,88.27,88.49,7543,0,12440170000,80.70514875754817,1.7864285714285717,12.812340642529318,2.143714285714286,2.858285714285715,90.59867179431092,79.22466666666668,67.85066153902244,0.2871329247871682,1
66,1622073600,92.13,92.69,91.11,92.1,6566,0,11524580000,70.66866302567865,2.0742857142857147,2.333333333333327,2.4891428571428578,3.318857142857144,94.53946373071102,87.26433333333334,79.98920293595566,0.1667377752050898,1
248,1644883200,125.4,125.77,123.21,124.95,12342,0,23473360000,48.9948798792388,6.292142857142852,12.082884822389666,7.550571428571422,10.067428571428565,139.72258855161647,122.14799999999998,104.57341144838352,0.2877589244460242,1
802,1714521600,116.5,120.55,115.82,117.46,12447,0,17730940000,37.97290063350978,3.790000000000002,-7.395143487858727,4.548000000000003,6.064000000000004,133.74680606177935,125.20766666666668,116.66852727155398,0.1363996250780066,1
79,1623801600,97.4,99.39,97.4,98.47,17398,0,28224910000,80.16095431483205,1.4678571428571427,6.8931828050369015,1.7614285714285711,2.3485714285714283,98.13598934864332,91.20866666666667,84.28134398469003,0.1519005361035131,1
180,1636329600,143.57,143.99,141.95,142.16,9036,0,14233800000,65.48808378135902,3.962142857142858,12.122407129899829,4.754571428571429,6.339428571428574,151.21093204549834,127.82533333333336,104.43973462116834,0.3658992799366583,1
911,1728259200,151.36,151.83,148.31,149.0,4065,1,597179,49.73891860628541,3.5257142857142845,-3.91436125620687,4.2308571428571415,5.641142857142856,162.76138516347774,148.281,133.80061483652227,0.1953100554147562,1
844,1719878400,121.88,123.52,121.52,123.22,5883,0,10583210000,51.20880637377156,2.557142857142858,3.520120977904728,3.0685714285714294,4.0914285714285725,127.73454971392836,122.25633333333332,116.77811695273832,0.0896185290566271,1
955,1733702400,189.65,191.49,184.34,185.32,6749,1,1028963,54.91421124378344,4.962142857142855,1.2677595628415264,5.954571428571426,7.939428571428569,199.06868127944517,181.716,164.36331872055487,0.1909868286716099,1
887,1725321600,141.48,141.95,136.99,138.23,4549,1,662477,53.86491486258524,3.0999999999999965,3.6984246061515216,3.719999999999996,4.959999999999995,145.9018844877728,136.579,127.25611551222724,0.136520028522288,1
784,1712275200,126.0,128.4,125.36,127.58,5179,0,7579820000,51.33758827625967,3.012142857142856,1.8846829579939304,3.614571428571427,4.8194285714285705,131.21743742793078,126.64633333333332,122.07522923873589,0.0721869157090604,1
952,1733270400,186.43,186.97,184.69,185.49,3763,1,559385,56.19246038443714,4.7735714285714295,2.1589469626039635,5.728285714285716,7.637714285714288,198.7110973946177,179.87133333333333,161.03156927204896,0.2094804515222107,1
18,1616112000,71.73,72.85,71.34,72.45,6316,0,10370110000,55.798676669406646,2.444285714285711,2.431782836137422,2.933142857142853,3.9108571428571377,75.35465724018817,70.68533333333333,66.01600942647849,0.1321157781016762,1
352,1658102400,95.0,95.81,93.04,93.14,8071,0,17494170000,43.46982937812817,4.227857142857141,-4.803761242845464,5.073428571428569,6.7645714285714265,117.7030788471515,98.26266666666668,78.82225448618185,0.3956825687711472,1
914,1728518400,147.78,150.21,147.24,149.03,3809,1,585226,49.85784072752492,3.080714285714285,-5.760718350828372,3.696857142857143,4.929142857142857,162.70340433029872,149.06466666666665,135.42592900303458,0.1829908853468347,1
421,1666569600,85.52,86.66,82.79,86.27,14799,0,26490190000,46.42947168971013,4.101428571428573,-7.75235243798118,4.921714285714288,6.562285714285718,96.03252813098092,87.89333333333335,79.75413853568578,0.1852061923008395,1
8,1614902400,67.12,67.41,63.71,66.01,22356,0,37895940000,37.431263798411,1.6049999999999984,-5.995442893762452,1.925999999999998,2.567999999999998,73.0011840275174,68.97366666666667,64.94614930581595,0.1167842034646282,1
867,1722816000,126.85,132.19,124.45,129.52,19497,0,31042030000,43.66413956774028,5.042142857142855,-5.446050518323829,6.050571428571425,8.067428571428568,147.07005935299165,131.458,115.84594064700836,0.2375216320496531,1
333,1655424000,89.97,92.55,89.05,90.26,18229,0,33354280000,31.38002085087672,5.524285714285713,-25.423448731719407,6.629142857142855,8.838857142857142,126.60480031740045,107.29466666666669,87.98453301593291,0.3599458249071173,1
252,1645488000,122.12,124.99,119.85,121.58,10450,0,17325000000,45.491584109712754,5.426428571428568,-9.907373101148568,6.511714285714281,8.68228571428571,140.06982617018684,122.68966666666664,105.30950716314644,0.2833190434976083,1
62,1621555200,89.63,91.68,89.33,90.74,12798,0,20496210000,68.21793723679824,2.1185714285714283,2.5426601875918187,2.542285714285714,3.3897142857142857,94.07173419290176,85.49833333333332,76.92493247376488,0.2005512979099422,1
913,1728432000,147.85,149.47,146.97,148.44,5581,1,916657,48.431267866533005,3.1128571428571417,-7.027433295753475,3.73542857142857,4.980571428571427,162.79316191019268,148.767,134.7408380898073,0.1885655005504269,1
