,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
846,1720137600,73.91,73.91,72.78,73.13,4085,0,5394380000,32.418469615451784,1.3807142857142836,-2.6750066542454154,1.65685714285714,2.209142857142854,84.98874611160265,76.83066666666667,68.6725872217307,0.2123651869462535,1
622,1691971200,80.82,81.56,80.23,81.29,2633,0,3267040000,40.22351017988006,2.421428571428572,-11.429505338853776,2.905714285714286,3.874285714285715,94.07118458056306,85.86966666666667,77.66814875277029,0.1910224700355123,1
583,1686873600,84.59,84.84,83.47,84.13,7121,0,10362510000,70.1527335293591,1.6800000000000008,7.212947623295522,2.016000000000001,2.688000000000001,84.72388555498323,78.82266666666666,72.9214477783501,0.1497340584345424,1
735,1706140800,84.68,85.28,84.07,84.64,3673,0,4684350000,54.84463037606659,1.6300000000000037,3.9803439803439735,1.9560000000000044,2.608000000000006,89.7203423676335,84.78999999999999,79.85965763236648,0.1162953736910842,1
526,1679875200,67.93,68.25,67.17,67.9,6417,0,15198700000,42.077746553304245,1.3885714285714303,-3.8788221970554857,1.6662857142857164,2.2217142857142886,78.55167398596582,70.67766666666667,62.80365934736752,0.222814580352091,1
737,1706486400,84.84,86.3,84.66,86.3,3552,0,4449400000,61.38508650993782,1.6078571428571462,4.101326899879362,1.9294285714285755,2.5725714285714343,89.74285383003205,84.80300000000001,79.86314616996798,0.1165018650291153,1
852,1721001600,75.36,76.75,74.92,76.03,6790,0,11047660000,51.57443224362585,1.5757142857142838,2.2320828290977497,1.8908571428571408,2.5211428571428542,78.90057415133568,74.88966666666666,70.87875918199764,0.1071151111546947,1
465,1672099200,76.9,77.62,76.08,76.76,2927,0,4161830000,40.78146564323352,2.0600000000000014,-5.187747035573109,2.4720000000000018,3.2960000000000025,84.27320897218094,80.097,75.92079102781905,0.1042787862761637,1
117,1628553600,86.14,86.74,84.21,85.06,4194,0,7264750000,42.874753311305504,2.348571428571426,-4.244061690870197,2.8182857142857114,3.757714285714282,90.65932545831924,86.518,82.37667454168077,0.0957332684139538,1
404,1664409600,71.42,71.96,69.93,70.7,7967,0,10736760000,46.71195474427182,2.3128571428571414,-9.832929473281462,2.7754285714285696,3.7005714285714255,78.31497677034524,72.33200000000001,66.34902322965478,0.165430978552929,1
63,1621814400,84.75,84.9,83.8,84.37,558,0,6355400000,48.77597372865243,2.3692857142857155,-0.600848256361912,2.8431428571428587,3.790857142857145,94.75409876364938,86.645,78.53590123635061,0.187179843352747,1
176,1635811200,85.39,85.95,84.51,85.11,4243,0,11563930000,36.14913881452013,2.559999999999999,-4.819950794005818,3.0719999999999987,4.095999999999999,99.77411732553428,89.94433333333333,80.11454934113237,0.2185748368554096,1
712,1703030400,88.04,88.27,86.44,86.51,4933,0,6823140000,59.99077922466376,2.098571428571429,4.228915662650609,2.518285714285715,3.357714285714287,89.22892794351971,83.63033333333333,78.03173872314694,0.1338890899279698,1
750,1707955200,83.22,83.76,82.57,82.96,4399,0,5717500000,48.41281100480101,2.237142857142857,-2.491772449459338,2.684571428571429,3.579428571428572,85.77682931927193,83.159,80.54117068072809,0.0629596151774773,1
593,1688342400,88.27,88.38,86.76,87.51,11226,0,15693890000,62.738447375615856,2.210000000000001,8.384939311369841,2.652000000000001,3.5360000000000014,91.01531881307076,82.991,74.96668118692925,0.1933780485370883,1
599,1689120000,89.3,89.3,87.6,88.59,7442,0,10033650000,62.60551007476388,2.015,1.1763362265874842,2.418,3.224,92.29342213968086,84.88833333333334,77.48324452698581,0.1744665848785075,1
641,1694390400,82.91,82.91,81.91,82.4,2147,0,2698380000,51.170987277793216,1.4264285714285685,4.928052973385973,1.711714285714282,2.282285714285709,84.51837592957763,81.27400000000002,78.0296240704224,0.0798379784328964,1
703,1701907200,84.53,84.58,81.97,82.55,5111,0,6262270000,53.727116171356606,1.50857142857143,0.3647416413373825,1.810285714285716,2.4137142857142884,89.30377260315905,79.95533333333333,70.60689406350761,0.2338415432739709,1
738,1706572800,85.63,86.19,85.0,85.24,2017,0,2558350000,55.72725483281431,1.518571428571431,1.8642447418737904,1.822285714285717,2.4297142857142897,89.46942509841304,84.702,79.93457490158696,0.1125693631416741,1
101,1626652800,87.05,87.19,85.6,86.02,4886,0,7914030000,50.54297508066816,1.86642857142857,1.3550135501354912,2.239714285714284,2.986285714285712,90.57716340126748,86.19166666666666,81.80616993206584,0.1017615021081114,1
201,1638921600,78.16,79.03,78.02,78.98,4626,0,7951830000,42.430537419306006,2.229285714285716,-4.370989223876982,2.675142857142859,3.5668571428571454,88.39866870030988,81.847,75.2953312996901,0.1600955123659972,1
363,1659398400,70.15,71.82,70.15,71.02,5141,0,8610680000,69.3868067628475,2.250714285714285,19.824531803610583,2.700857142857142,3.601142857142857,70.87402168059842,62.34333333333333,53.81264498606825,0.2736680216200102,1
268,1647388800,60.41,60.78,58.24,59.31,8427,0,20223290000,46.18976757850008,2.385,-2.128712871287127,2.861999999999999,3.815999999999999,73.6867064845996,62.32866666666666,50.97062684873373,0.3644563705710459,1
314,1653004800,55.84,57.96,55.4,57.17,4454,0,7383770000,43.5339780474358,2.8292857142857137,-11.21292126106538,3.395142857142857,4.526857142857142,67.12812039320585,60.706,54.28387960679416,0.2115810757818286,1
770,1710460800,91.0,95.83,90.95,95.18,22017,0,36240680000,74.00386912470938,2.315000000000001,13.390517035978093,2.778000000000001,3.7040000000000015,91.12111753685382,85.12766666666667,79.13421579647952,0.1408108809949091,1
842,1719532800,74.42,74.46,73.61,74.16,6108,0,9778810000,34.83939545731525,1.664285714285712,-2.677165354330717,1.9971428571428544,2.66285714285714,89.17283844757571,78.664,68.15516155242429,0.2671829158846667,1
38,1618790400,90.45,90.68,89.2,89.82,517,0,5672700000,60.57791618957853,2.275714285714288,10.738503267168037,2.730857142857145,3.64114285714286,91.77459002908849,84.327,76.87940997091151,0.1766359535875458,1
30,1617753600,85.73,86.31,84.77,85.99,868,0,11763000000,57.01990138524201,2.2335714285714303,4.483596597812877,2.6802857142857164,3.5737142857142885,86.70820191520028,81.78133333333334,76.8544647514664,0.1204888299334878,1
210,1640044800,77.9,78.48,77.53,78.33,2979,0,4914370000,44.16859332268705,2.008571428571431,4.203804709325524,2.4102857142857173,3.21371428571429,84.1263837866202,79.65733333333334,75.18828288004649,0.1122068808049525,1
639,1694044800,82.79,83.83,82.79,83.63,2514,0,3201400000,57.66215897258871,1.395714285714282,7.383153569594247,1.6748571428571386,2.2331428571428518,84.37597287402347,81.17,77.96402712597653,0.0789940341018473,1
204,1639353600,78.72,78.72,77.6,78.07,5685,0,8683740000,40.01847476338457,2.215000000000001,-2.5343320848938844,2.6580000000000013,3.5440000000000023,86.24689105092943,80.905,75.56310894907057,0.1320534219375671,1
114,1628121600,86.37,87.94,86.32,87.88,3850,0,4774530000,52.1841773027144,2.3571428571428563,0.5952380952380907,2.8285714285714274,3.7714285714285705,90.8570383219086,86.65766666666667,82.45829501142474,0.0969186412875629,1
64,1621900800,85.0,85.82,84.51,84.91,589,0,7606800000,50.45621765901216,2.281428571428571,1.8105515587529863,2.737714285714285,3.650285714285714,94.4363940888158,86.452,78.46760591118421,0.1847127675199137,1
346,1657238400,60.96,61.88,60.63,61.8,4663,0,9704850000,56.52373449267076,1.8492857142857144,12.037708484408991,2.2191428571428573,2.958857142857143,64.85685946560926,59.90233333333333,54.947807201057394,0.1654201383009877,1
291,1650326400,61.07,63.68,61.07,63.31,3709,0,10476950000,48.00247200407868,2.134999999999999,-8.998131378467718,2.5619999999999985,3.4159999999999986,72.04845488255536,63.316,54.58354511744464,0.2758372254266019,1
727,1705017600,83.2,83.62,82.43,83.41,2949,0,3415390000,47.24609955077312,1.6007142857142875,-4.21451538814883,1.920857142857145,2.56114285714286,89.62647558064337,85.03233333333333,80.43819108602328,0.1080563608504227,1
575,1686009600,81.91,82.86,81.64,82.33,3597,0,5724480000,74.1005362686375,1.452142857142855,8.543177323665134,1.742571428571426,2.323428571428568,82.85690999428597,76.79133333333333,70.72575667238068,0.1579755526479371,1
418,1666137600,72.62,72.86,71.62,72.32,4401,0,6420440000,50.52208667521207,2.2657142857142847,2.2913719943422777,2.718857142857141,3.625142857142856,77.91287801549473,72.61366666666666,67.3144553178386,0.1459563080089074,1
733,1705968000,83.6,84.06,82.64,83.87,3571,0,4576010000,51.48791800117954,1.7607142857142892,-1.8949584746753891,2.112857142857147,2.817142857142863,89.7258082310267,84.72366666666667,79.72152510230664,0.1180813286573219,1
763,1709683200,86.86,87.93,86.68,87.7,4709,0,6581760000,59.76157323850165,2.240714285714286,6.548414530433727,2.688857142857143,3.585142857142858,88.51036474773827,84.35266666666666,80.19496858559506,0.0985789363957259,1
143,1631750400,88.68,89.4,88.33,89.13,3034,0,3528490000,61.8208739219188,1.4785714285714289,7.631928511049383,1.774285714285715,2.365714285714286,90.99650166780214,85.72566666666667,80.4548316655312,0.1229698223667466,1
362,1659312000,71.97,72.26,70.88,71.16,4007,0,5172400000,69.87477517208444,2.288571428571429,19.235924932975863,2.746285714285715,3.661714285714287,70.01939723805538,61.84400000000001,53.66860276194465,0.2643877251812743,1
33,1618185600,88.03,88.88,87.6,88.78,367,0,4157000000,62.98681805196282,2.179285714285716,7.24812756704518,2.6151428571428585,3.4868571428571453,88.69256920624476,82.346,75.99943079375525,0.1541439585710235,1
399,1663804800,69.59,70.54,68.16,70.08,13235,0,18017500000,43.175773238434864,2.691428571428571,0.1142857142857118,3.229714285714285,4.306285714285713,78.89959167738483,73.031,67.16240832261518,0.1607150847553731,1
