,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
232,1642982400,97.52,103.04,95.93,102.32,14117,0,24031300000,62.40065924640607,4.074285714285714,12.229900186464835,4.889142857142857,6.518857142857143,108.51234180401067,93.76233333333332,79.01232486265597,0.3146254566477091,1
362,1659312000,108.51,109.39,106.29,107.61,10383,0,16848880000,49.146289808512336,4.694285714285713,8.150753768844222,5.633142857142856,7.510857142857141,117.93896978371414,106.44433333333332,94.94969688295252,0.2159746055130063,1
908,1727827200,129.15,129.35,126.54,128.33,3945,1,616078,58.80299912884856,2.923571428571429,8.551852478430057,3.5082857142857145,4.677714285714287,131.5648480099774,124.27033333333334,116.97581865668928,0.1173975233023283,1
929,1730332800,121.79,122.57,120.57,121.98,6954,1,966268,39.41748950847175,2.094999999999999,-7.904869762174395,2.5139999999999985,3.3519999999999985,134.63271023992516,126.64666666666668,118.6606230934082,0.1261153377889954,1
312,1652832000,128.49,128.89,120.74,122.82,9559,0,18057330000,51.80139411311389,6.200000000000002,4.2880190201239685,7.440000000000002,9.920000000000003,130.32953714576172,121.00966666666666,111.68979618757162,0.1540351400978167,1
344,1657065600,102.47,104.62,97.67,100.9,16450,0,28957210000,32.35445846577116,7.08357142857143,-23.158936866956054,8.500285714285715,11.333714285714288,154.19187354884474,126.04633333333337,97.90079311782196,0.4465903842054597,1
459,1671148800,124.17,126.53,122.41,125.73,17351,0,23597580000,39.59170480968817,5.172142857142858,-8.004682812614314,6.206571428571429,8.275428571428574,154.29783938574045,137.3783333333333,120.45882728092616,0.2463198619734865,1
282,1649116800,120.92,122.43,117.66,117.84,6124,0,9136670000,49.72456235320293,4.287857142857141,4.283185840707968,5.145428571428569,6.860571428571426,125.82477903659483,117.67266666666666,109.52055429673848,0.1385557513202418,1
771,1710720000,122.5,123.63,122.03,123.57,5960,0,8085900000,69.29062142103527,1.9671428571428573,8.44229925405879,2.3605714285714288,3.147428571428572,123.82281533199738,115.64066666666666,107.45851800133596,0.1415098840430537,1
60,1621382400,80.56,82.05,78.83,80.5,13189,0,20021950000,56.06507494956112,3.3535714285714286,6.018701435532718,4.024285714285714,5.365714285714287,86.04326948901182,75.35866666666668,64.67406384432154,0.2835666631312958,1
469,1672704000,127.63,129.27,122.89,124.44,6859,0,9966920000,41.52726145817429,4.064999999999998,0.2658931592941732,4.877999999999997,6.503999999999997,146.0441573777729,131.83833333333334,117.63250928889376,0.2155036958563833,1
251,1645142400,110.5,112.76,110.45,111.64,6283,0,10670560000,56.96958742664217,3.9671428571428575,0.143523501973445,4.760571428571429,6.347428571428573,118.90958414959816,108.40433333333334,97.89908251706852,0.1938160679234499,1
102,1626739200,69.91,72.47,69.3,71.5,14288,0,24278410000,31.9117215929042,3.084999999999998,-13.133276637103636,3.701999999999998,4.935999999999998,91.4213962934068,82.51433333333333,73.60727037325985,0.2158912906462346,1
25,1617062400,72.5,73.9,71.39,73.26,7520,0,12230590000,57.33675827256651,2.8128571428571405,-2.4760383386581464,3.3754285714285683,4.500571428571425,78.69784337949656,70.11699999999999,61.53615662050343,0.2447578584222533,1
139,1631232000,68.5,68.92,66.97,67.12,7931,0,13147420000,43.43253177973022,2.037857142857144,4.094292803970224,2.445428571428573,3.260571428571431,72.8658507388011,68.35733333333334,63.84881592786559,0.1319102775259739,1
923,1729641600,125.0,125.15,123.73,124.71,2975,1,410019,42.97699001053034,2.2535714285714263,-4.663252044950698,2.7042857142857115,3.6057142857142814,134.8894028475793,126.62666666666668,118.36393048575404,0.1305054677410649,1
379,1661299200,121.01,124.57,120.66,123.9,10458,0,16812410000,68.22058112600766,4.440714285714285,24.061279663562637,5.328857142857141,7.105142857142856,123.024612416102,108.664,94.303387583898,0.2643122361794522,1
563,1684368000,110.13,112.1,108.76,112.02,6017,0,10321850000,46.11330457507778,3.584999999999998,-6.235875115091657,4.301999999999998,5.735999999999998,124.43299405978296,115.92033333333332,107.40767260688372,0.1468708807448153,1
660,1696550400,119.39,122.07,118.03,120.66,9461,0,14610640000,39.02449197546422,3.6885714285714255,-8.507734303912647,4.426285714285711,5.901714285714281,136.94239710764643,128.03466666666665,119.12693622568688,0.1391456028728643,1
464,1671753600,127.95,130.72,127.7,130.62,4937,0,7036620000,49.43671659110274,4.747857142857143,-2.602341361568868,5.697428571428572,7.596571428571429,151.75045689143198,134.728,117.70554310856804,0.2526936775047795,1
277,1648512000,117.41,120.88,115.75,120.62,7596,0,13766660000,55.23607340369502,4.612142857142857,6.020919398787035,5.534571428571428,7.379428571428571,125.3221576646022,116.24266666666668,107.16317566873116,0.1562161512342373,1
823,1717113600,123.19,124.73,122.55,124.63,7366,0,10143910000,41.48507581498076,2.43,-4.20445810914681,2.9159999999999995,3.888,137.7369137503963,129.75466666666665,121.77241958293702,0.1230359922889808,1
108,1627430400,73.27,73.81,71.7,73.29,11060,0,16777990000,39.49663808346659,2.97,-8.261359369132549,3.564,4.752,90.6312297327978,80.02733333333332,69.42343693386883,0.2650068659740711,1
818,1716422400,126.35,127.3,123.87,124.02,9385,0,12753080000,31.42080730245742,2.0057142857142827,-4.614674665436097,2.406857142857139,3.2091428571428526,137.15839473841444,131.315,125.47160526158554,0.0889981302732277,1
323,1654214400,139.98,143.28,139.82,142.5,7448,0,12320200000,71.04262471764449,4.905000000000004,14.660444158352108,5.886000000000005,7.848000000000006,142.30257858279816,124.94566666666668,107.58875475053516,0.2778313546869412,1
