,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
384,1661904000,130.41,135.87,129.31,133.28,7184,0,10787330000,55.115188479363816,5.842857142857146,0.4295079496646772,7.011428571428575,9.348571428571434,140.5169798609829,127.141,113.76502013901712,0.2104117454005064,1
44,1619395200,75.9,78.25,75.55,77.43,3800,0,5661740000,53.315383804223984,3.015714285714284,2.610654651470996,3.618857142857141,4.825142857142854,82.10247271721285,76.53533333333334,70.96819394945383,0.1454789347982066,1
540,1681689600,146.64,147.35,144.42,144.61,3376,0,4702950000,58.795067462752485,3.8471428571428623,12.493193309996112,4.616571428571435,6.15542857142858,151.64158996093562,135.99033333333333,120.33907670573105,0.2301818996095648,1
375,1660780800,127.33,131.07,127.0,129.99,5963,0,11602720000,56.42371688138483,6.119285714285714,1.5308911973756212,7.343142857142856,9.790857142857142,134.85371568071568,120.652,106.45028431928432,0.2354161668387707,1
725,1704844800,152.0,152.19,149.88,151.36,4888,0,7003420000,41.64272319972032,3.420714285714289,-3.647590553186065,4.1048571428571465,5.473142857142863,160.8103712272496,153.81466666666665,146.81896210608372,0.0909627763358015,1
351,1657843200,109.07,109.79,107.09,109.15,5050,0,7707220000,35.489842217297834,6.682142857142859,-8.645798459993301,8.01857142857143,10.691428571428574,167.21885326022144,130.75866666666667,94.2984800731119,0.5576714342996477,1
239,1643760000,129.97,131.82,127.24,131.02,6074,0,11291890000,64.45518298848438,6.902142857142854,5.25385604113111,8.282571428571424,11.043428571428567,136.5175406801351,119.65233333333336,102.78712598653158,0.2819035262742072,1
620,1691625600,150.36,151.73,148.66,149.71,3799,0,5595220000,70.56686835942126,3.03285714285714,6.004390002124208,3.6394285714285672,4.852571428571423,154.8377061374238,140.87633333333332,126.91496052924283,0.1982074983603653,1
483,1674518400,150.0,150.5,146.51,147.23,3989,0,5119460000,59.370358966596406,4.075714285714282,12.12398141801842,4.890857142857138,6.521142857142852,149.85376649654825,138.66266666666667,127.47156683678509,0.1614147498949236,1
694,1700784000,154.61,156.24,154.43,154.63,1639,0,2079520000,43.58001114894382,3.758571428571429,-4.608266502159161,4.510285714285715,6.013714285714286,170.41633669035193,160.56733333333332,150.71832997631472,0.1226775478244051,1
58,1620950400,77.69,79.31,76.7,78.71,8671,0,13361860000,49.17693541364936,4.697142857142857,1.653106031254019,5.636571428571428,7.515428571428571,85.28485602609297,78.604,71.92314397390703,0.1699876857689931,1
