,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
477,1673568000,46.25,49.04,45.88,48.88,18530,0,32895570000,45.44460675312172,1.646428571428573,-0.589790522676427,1.975714285714287,2.634285714285717,55.015532958030754,50.48666666666667,45.95780037530259,0.1794084097991845,1
898,1726617600,75.81,75.84,74.54,74.68,6390,1,1484225,55.73109333154411,1.634285714285716,-1.2038629448339682,1.961142857142859,2.614857142857145,79.01607199669314,74.48666666666666,69.95726133664019,0.1216165397841173,1
825,1717459200,58.66,59.48,58.61,58.63,9139,0,15726720000,39.34004922432732,1.5064285714285706,-2.5594149908592305,1.8077142857142845,2.4102857142857133,65.6967251012987,61.083,56.46927489870129,0.1510641291782886,1
418,1666137600,51.21,52.75,51.09,51.79,14875,0,22993950000,54.06087883526775,2.294285714285715,4.310171198388722,2.753142857142858,3.670857142857144,54.57068360513321,50.73766666666667,46.90464972820013,0.1510915731954514,1
580,1686614400,70.56,70.75,69.36,70.49,11979,0,21282220000,58.70641358942265,2.3635714285714258,3.5551638019685647,2.8362857142857107,3.7817142857142816,72.56601909808435,67.45466666666667,62.34331423524898,0.1515492606812778,1
692,1700524800,51.8,52.77,51.55,52.59,14367,0,22812560000,47.39349292235367,2.5535714285714284,-8.219895287958105,3.064285714285714,4.085714285714285,61.43793592515963,54.081,46.72406407484038,0.2720710018364906,1
946,1732492800,93.0,94.89,92.68,93.12,10898,1,5883972,62.41414344469126,3.52928571428571,19.507186858316224,4.235142857142852,5.646857142857137,100.14726668211202,86.00333333333333,71.85939998455464,0.3289159338501303,1
540,1681689600,68.28,68.77,67.07,67.69,10341,0,17109810000,67.10472680393102,1.3485714285714272,5.798687089715538,1.6182857142857126,2.157714285714284,69.48152284933269,63.708666666666666,57.93581048400064,0.1812267148163837,1
68,1622505600,44.15,44.15,42.73,43.01,2631,0,15975550000,60.62263434404623,1.1257142857142866,4.190891472868209,1.350857142857144,1.8011428571428585,43.746298847997686,41.28533333333334,38.824367818669,0.1192174225551129,1
114,1628121600,60.91,61.3,59.65,60.01,4958,0,31815600000,79.64070164707343,1.864285714285715,16.07350096711798,2.237142857142858,2.982857142857144,59.52049032627267,52.521,45.52150967372732,0.2665406342709651,1
17,1616025600,35.51,35.73,34.61,34.61,4811,0,35958500000,50.4697224983923,1.2750000000000006,2.4874148652650168,1.5300000000000007,2.040000000000001,37.97603992541202,34.13533333333333,30.294626741254632,0.2250282166325428,1
509,1677715200,58.4,60.04,58.19,59.65,10160,0,14638890000,58.29617969406752,1.5771428571428576,3.1293222683264093,1.892571428571429,2.5234285714285725,64.92392347907399,56.20133333333333,47.47874318759268,0.3104050964060398,1
27,1617235200,37.41,38.04,37.09,37.29,3065,0,20990250000,61.05966816678933,1.2342857142857138,-1.0087602867002987,1.4811428571428564,1.9748571428571424,38.39954268960138,35.27733333333333,32.15512397706528,0.1770093746466882,1
91,1625184000,48.84,49.75,48.69,49.61,2023,0,14378550000,68.83390487595716,1.119285714285714,7.172175415856557,1.3431428571428567,1.7908571428571425,50.40336236075877,45.83533333333334,41.26730430590791,0.1993234779904338,1
23,1616716800,34.85,36.62,34.46,36.55,7529,0,46248000000,58.55444103716726,1.3350000000000004,9.957882069795412,1.6020000000000003,2.136000000000001,37.94617069457895,34.79633333333333,31.646495972087703,0.1810442112432704,1
127,1629763200,61.69,61.69,59.82,59.95,3571,0,22696750000,59.58488976192186,1.6749999999999992,-1.3980263157894643,2.009999999999999,2.679999999999999,64.33005496876129,57.09066666666667,49.85127836457205,0.253610221242046,1
