,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
940,1731628800,116.0,117.49,115.19,116.02,3654,9117,502034,68.16262755834889,3.469285714285716,14.02457002457002,4.163142857142859,5.550857142857145,117.84686935032865,104.93666666666668,92.02646398300467,0.2460570379021374,1
466,1672185600,97.06,98.76,96.06,96.34,3535,0,5362610000,44.51013702771828,2.765000000000001,-2.4701356549908864,3.3180000000000005,4.424000000000001,104.14342225616564,98.46666666666668,92.7899110771677,0.1153030925422945,1
96,1626048000,189.64,189.94,188.32,189.62,3501,0,4812470000,44.00447183101743,2.9457142857142804,-2.1012958851773416,3.5348571428571365,4.713142857142849,196.04082127074668,191.968,187.8951787292533,0.0424322936192145,1
85,1624492800,192.87,193.13,190.52,191.51,6859,0,10501460000,42.86895917634828,3.2557142857142787,-1.4054777594728265,3.906857142857134,5.209142857142846,197.59153207212236,193.713,189.8344679278777,0.040044107232063,1
352,1658102400,115.59,116.85,112.5,113.28,5078,0,6405100000,46.38936288043172,3.642857142857143,-3.220845792396408,4.371428571428571,5.828571428571429,127.44157299437032,115.16066666666666,102.87976033896298,0.2132830016215665,1
606,1689897600,112.25,112.31,109.78,110.5,5503,0,8039450000,63.11548430699365,2.479999999999999,12.18274111675127,2.975999999999998,3.967999999999999,115.23900847774092,103.91433333333336,92.58965818892578,0.2179617533238769,1
468,1672358400,98.29,99.35,97.72,99.32,4084,0,5531340000,51.42190917861692,2.8192857142857157,1.543809426439005,3.3831428571428583,4.5108571428571445,103.86291910665118,98.36333333333332,92.86374756001548,0.1118218666844253,1
917,1728950400,102.73,103.96,102.39,102.87,3555,1,543126,50.15891221442693,2.422142857142856,5.985988048629716,2.906571428571427,3.8754285714285697,115.91280366751346,104.771,93.62919633248654,0.2126886956794047,1
785,1712534400,126.13,128.99,126.13,128.08,4288,0,6291040000,43.79127389898419,2.7735714285714232,-1.8919954040597464,3.328285714285708,4.437714285714278,135.50960852615555,130.65233333333333,125.7950581405111,0.0743542050707945,1
921,1729468800,101.35,102.41,99.59,99.96,2936,1,479966,43.52848252564683,2.375714285714285,-0.4580760804620672,2.850857142857142,3.801142857142856,114.44364465877482,103.72466666666668,93.00568867455854,0.2066813678284458,1
672,1698105600,109.54,111.66,109.34,111.48,6183,0,7964200000,39.53077886486157,2.5821428571428577,-1.1964902951342675,3.098571428571429,4.131428571428573,125.66505496160646,116.612,107.55894503839356,0.1552679820534155,1
594,1688515200,100.26,105.1,99.82,104.76,9876,0,14269740000,62.16831857216557,2.567857142857144,4.1248384852400415,3.0814285714285727,4.10857142857143,103.99535805531386,99.92866666666669,95.86197527801949,0.0813918873192314,1
850,1720656000,95.62,98.02,94.86,96.83,4483,0,7075380000,46.75678008867629,1.9878571428571428,2.508998517891176,2.3854285714285712,3.1805714285714286,100.7745999521656,96.47366666666667,92.17273338116776,0.0891628448280998,1
422,1666656000,115.93,118.51,115.89,118.27,5127,0,7116600000,56.096937816828,3.4649999999999994,0.9129692832764446,4.158,5.544,129.65957086877307,115.341,101.02242913122691,0.2482824124773163,1
367,1659916800,129.0,131.05,128.7,129.33,7229,0,11475730000,66.20888322950104,3.6950000000000034,9.342238755495444,4.434000000000004,5.912000000000006,130.7411230333114,118.135,105.52887696668856,0.2134189365270481,1
19,1616371200,205.12,205.81,203.24,203.87,5427,0,9236670000,50.04563729012648,5.012857142857142,0.875804057397333,6.015428571428569,8.020571428571428,215.53814929798628,202.52366666666663,189.50918403534703,0.1285230792580912,1
262,1646697600,122.08,127.07,120.98,123.23,6742,0,9675340000,32.67763614758603,5.332142857142856,-14.38793941920244,6.398571428571427,8.531428571428568,155.6850427498597,139.835,123.98495725014034,0.2266963599937022,1
101,1626652800,192.01,192.24,184.38,186.03,8725,0,11601720000,39.01768726480602,3.4971428571428538,-1.8984337921214969,4.196571428571424,5.595428571428567,196.0106377442176,191.599,187.18736225578243,0.0460507387222019,1
638,1693958400,126.08,127.79,125.97,127.35,3236,0,4519380000,62.44313981924641,2.325,3.0089784033001687,2.79,3.72,133.5514861422788,122.44833333333334,111.34518052438789,0.1813524530173891,1
770,1710460800,131.44,131.92,129.48,129.88,3301,0,5069810000,45.06011083213063,2.222142857142859,-2.572950266296607,2.666571428571431,3.5554285714285747,139.49160055338425,133.056,126.62039944661578,0.0967352175532743,1
