,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
749,1707868800,15.46,15.55,15.31,15.46,10994,0,23493250000,40.9375570055104,0.4892857142857142,-4.626773596545342,0.5871428571428571,0.7828571428571429,18.229725216214156,16.568333333333335,14.906941450452518,0.2005502725537652,1
671,1698019200,12.58,12.71,12.49,12.53,20250,0,46424310000,25.016800274185528,0.3678571428571431,-7.935341660543719,0.4414285714285718,0.5885714285714291,15.875776765440545,14.088333333333336,12.300889901226125,0.2537480324770675,1
83,1624320000,26.87,26.94,26.36,26.56,10214,0,18127940000,41.58343306662069,0.8392857142857151,-6.741573033707871,1.007142857142858,1.3428571428571443,29.873019179274696,27.809,25.744980820725303,0.1484425315023693,1
46,1619654400,27.57,27.68,27.09,27.65,10168,0,17123960000,65.0646716728356,0.7599999999999992,4.9734244495064495,0.911999999999999,1.2159999999999989,27.78727111031318,25.74533333333333,23.703395556353488,0.158625856619699,1
531,1680480000,16.25,16.45,16.06,16.21,9585,0,21091190000,46.7773535176368,0.572857142857143,-0.184729064039394,0.6874285714285715,0.9165714285714288,18.42284794453022,16.565666666666665,14.708485388803112,0.2242205297539352,1
678,1698796800,13.08,13.17,12.86,13.07,11318,0,22332540000,42.81809668136254,0.3928571428571429,-1.9504876219054748,0.4714285714285715,0.6285714285714288,14.784839829427597,13.513,12.241160170572403,0.1882394478543028,1
709,1702598400,17.52,17.69,17.29,17.53,21632,0,38888700000,86.08441516351189,0.5028571428571427,27.30573710965869,0.6034285714285712,0.8045714285714283,16.801570955573155,14.389666666666669,11.97776237776018,0.3352272633936139,1
608,1690243200,17.38,17.4,16.51,16.62,30085,0,56212450000,43.23806259548413,0.5349999999999996,-1.4819205690574984,0.6419999999999995,0.8559999999999994,18.47426902239389,17.055666666666664,15.637064310939436,0.1663496811297,1
93,1625616000,25.79,26.22,25.52,26.12,8890,0,14203520000,40.5785453167166,0.7721428571428574,-9.021246952281434,0.9265714285714288,1.2354285714285718,29.94607599602148,27.67933333333333,25.412590670645184,0.163785929046086,1
39,1618876800,26.29,26.44,25.51,25.8,9455,0,18440480000,53.42272280549391,0.6449999999999998,3.656086781840097,0.7739999999999997,1.0319999999999998,27.190575919046413,25.447333333333333,23.704090747620253,0.1370078792051358,1
67,1622160000,28.59,28.75,28.16,28.54,10358,0,18429920000,61.74667560342102,0.9007142857142851,1.1339475549255855,1.080857142857142,1.4411428571428564,28.700880853749123,27.164,25.627119146250877,0.1131557100389578,1
896,1726444800,16.09,16.27,16.02,16.25,4506,1,999365,48.869363633018175,0.4128571428571431,-5.468295520651548,0.4954285714285716,0.660571428571429,17.52634183358097,16.349,15.171658166419029,0.144026158612878,1
159,1633651200,25.25,25.6,24.95,25.04,7671,0,14284280000,51.14062072818994,0.7928571428571433,4.463913224864415,0.9514285714285718,1.2685714285714291,26.022106431367,24.91933333333333,23.81656023529967,0.0885074318227078,1
351,1657843200,15.97,16.37,15.59,16.24,7897,0,15479710000,44.74709443927068,0.602142857142857,-6.559263521288841,0.7225714285714283,0.9634285714285712,19.0184460440658,16.844666666666665,14.670887289267531,0.2580970488066412,1
150,1632700800,24.95,25.71,24.94,25.56,8368,0,16827070000,54.70815756428644,0.9699999999999996,3.314470493128538,1.1639999999999997,1.5519999999999996,26.063763451978883,24.84533333333333,23.626903214687776,0.0980812052145717,1
319,1653609600,19.41,19.56,19.33,19.55,5649,0,11300090000,54.68103837456693,0.7078571428571429,10.38961038961039,0.8494285714285714,1.1325714285714286,21.64354848165569,19.04133333333333,16.43911818501098,0.2733227870935881,1
640,1694131200,15.34,15.53,15.25,15.46,7161,0,12021690000,43.22291985259005,0.3507142857142858,1.3770491803278744,0.420857142857143,0.5611428571428574,17.185793739035383,15.905333333333337,14.624872927631287,0.1610101943627354,1
136,1630972800,24.79,25.0,24.54,24.74,11594,0,21379100000,47.34357951516117,0.6771428571428572,0.3651115618661252,0.8125714285714286,1.0834285714285714,25.80418558940444,24.73866666666667,23.6731477439289,0.0861419846990759,1
493,1675728000,19.31,19.79,19.24,19.61,8853,0,19702540000,56.7057716419236,0.8042857142857144,3.0478192327903217,0.9651428571428572,1.2868571428571431,20.13909505227324,18.871666666666663,17.60423828106009,0.1343207685885268,1
916,1728864000,17.59,17.77,17.51,17.73,7774,1,2217811,58.2457996817264,0.4157142857142855,1.025641025641024,0.4988571428571425,0.6651428571428568,18.439722488989,16.985333333333333,15.53094417767767,0.1712523536763872,1
26,1617148800,24.88,25.5,24.84,25.23,10588,0,19060260000,58.40529495644966,0.8021428571428569,-0.3160806005531343,0.9625714285714284,1.2834285714285711,26.47546917772559,24.15,21.824530822274408,0.1925854391491172,1
530,1680220800,16.33,16.42,16.16,16.4,7915,0,18331550000,49.06615521770188,0.5885714285714286,2.308172177167794,0.7062857142857143,0.9417142857142858,18.661778155544592,16.64966666666667,14.637555177788744,0.2416999125761785,1
581,1686700800,16.58,16.88,16.42,16.58,14952,0,29158650000,64.0090027088687,0.4807142857142855,12.102772143340088,0.5768571428571425,0.7691428571428568,16.822848150255428,15.547666666666666,14.272485183077904,0.1640350942592151,1
86,1624579200,27.35,27.71,27.18,27.43,9600,0,17049470000,48.365438815006655,0.752142857142858,-5.381165919282507,0.9025714285714296,1.2034285714285728,29.85635797559313,27.827,25.797642024406876,0.145855318618114,1
217,1640908800,23.15,23.31,22.97,23.02,6563,0,12817230000,46.31184519006767,0.6228571428571422,-0.5615550755939482,0.7474285714285707,0.9965714285714276,24.567884943076702,23.153666666666663,21.739448390256623,0.1221593362960544,1
552,1683072000,16.55,16.92,16.41,16.46,11790,0,18868580000,45.78359357206504,0.4971428571428574,-1.0222489476848955,0.5965714285714289,0.7954285714285719,17.78490137637556,16.388333333333332,14.991765290291102,0.170434419978712,1
490,1675296000,19.21,20.56,19.16,20.21,28235,0,61279930000,64.24298056136496,0.7678571428571423,3.2175689479060394,0.9214285714285708,1.2285714285714278,19.907481375658943,18.73166666666667,17.555851957674392,0.1255429887704184,1
36,1618444800,26.45,26.89,26.15,26.84,14722,0,25381460000,64.47145400929705,0.673571428571428,11.415525114155251,0.8082857142857136,1.077714285714285,27.11728532995861,25.191,23.264714670041386,0.1529344075232117,1
769,1710374400,15.34,15.54,15.23,15.39,11413,0,21585400000,43.65781063910957,0.3721428571428576,0.2605863192182471,0.4465714285714291,0.5954285714285722,16.18157052463968,15.644,15.10642947536032,0.0687254569981693,1
71,1622764800,29.42,29.45,28.61,29.26,15023,0,28878900000,61.99298891911063,1.012142857142857,4.6869409660107415,1.2145714285714284,1.6194285714285712,29.13346128958069,27.494666666666664,25.85587204375264,0.1192081826473517,1
695,1701043200,13.7,13.77,13.55,13.77,10869,0,22674010000,53.97295522124415,0.3414285714285713,2.0756115641215667,0.4097142857142856,0.5462857142857142,14.172432624619082,13.286333333333332,12.400234042047584,0.1333850760860657,1
529,1680134400,16.29,16.37,15.94,16.12,7716,0,15818270000,45.4110759371401,0.6221428571428571,-1.7672151127361313,0.7465714285714286,0.9954285714285714,18.83316818191561,16.718333333333334,14.603498484751055,0.2529958945567473,1
454,1670544000,18.45,18.58,18.32,18.35,14571,0,26705640000,52.788724277485926,0.4728571428571429,-3.115100316789862,0.5674285714285715,0.7565714285714287,21.113004468088736,17.967666666666666,14.822328865244597,0.3501108808142852,1
382,1661731200,17.08,17.21,16.94,16.98,5609,0,9364390000,39.69082742952819,0.4792857142857146,-4.873949579831938,0.5751428571428575,0.7668571428571433,19.1312911107494,17.792666666666666,16.45404222258393,0.1504692319775266,1
776,1711324800,15.94,16.19,15.91,16.0,8275,0,23971230000,55.2738354920834,0.3457142857142858,2.040816326530614,0.414857142857143,0.5531428571428573,16.126618745466338,15.593,15.059381254533664,0.0684433714444093,1
