,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
92,1625529600,312.96,316.29,305.26,311.16,2508,0,3335650000,45.97520034086871,7.662857142857149,-2.880863947064503,9.19542857142858,12.260571428571438,326.14397071697937,316.064,305.9840292830207,0.0637843646665191,1
516,1678665600,361.32,370.5,361.32,364.82,2842,0,4221730000,36.4997395312454,11.385714285714288,-3.5735053126817102,13.662857142857144,18.21714285714286,418.4113045676073,390.135,361.8586954323927,0.1449565128358508,1
956,1733788800,657.83,657.83,638.47,641.87,1685,1,359507,44.118761110387325,17.98857142857144,4.257219894097398,21.58628571428573,28.781714285714305,698.5306767819369,653.3103333333333,608.0899898847298,0.1384344962611547,1
586,1687392000,453.44,467.9,452.96,467.36,1858,0,2206210000,60.36636139088348,11.654285714285717,3.277130797958155,13.98514285714286,18.646857142857147,502.1315582742768,442.593,383.0544417257233,0.2690442834580607,1
212,1640217600,415.66,424.5,415.03,420.57,2439,0,3292270000,58.52785371382658,14.24142857142858,4.9352528755707405,17.089714285714294,22.78628571428573,428.6557225541916,409.417,390.1782774458085,0.0939810635815882,1
958,1733961600,646.87,649.89,637.91,646.6,1397,1,277701,46.17747649163585,17.695714285714295,2.1226862088571696,21.234857142857155,28.313142857142875,689.6702929861007,650.224,610.7777070138994,0.1213313965221234,1
349,1657670400,307.63,316.57,306.4,313.04,3360,0,4182940000,45.41352568572462,13.489285714285712,-3.510772739882251,16.187142857142852,21.58285714285714,375.2327958507794,329.4336666666667,283.6345374825539,0.2780476546160295,1
557,1683676800,380.84,388.37,380.5,386.37,2005,0,2491580000,54.42979558227742,10.3807142857143,2.8290839410230464,12.456857142857162,16.60914285714288,399.8910906973287,378.851,357.81090930267135,0.1110731696489049,1
286,1649635200,336.5,339.18,331.2,331.29,4466,0,5938130000,40.62445492062233,13.431428571428572,-8.255330933259485,16.117714285714285,21.49028571428572,384.45319920843735,348.30366666666663,312.1541341248959,0.2075748032613537,1
198,1638489600,407.62,410.91,394.61,400.79,4247,0,5247500000,51.67372698359329,12.810000000000011,-3.0080828614297483,15.372000000000012,20.49600000000002,450.2447329765327,397.2,344.15526702346733,0.2670933181094293,1
125,1629417600,324.45,327.45,315.46,320.12,2604,0,3428650000,44.43541264280751,8.482857142857139,-7.455696568471573,10.179428571428566,13.572571428571422,360.9516044882729,324.986,289.0203955117271,0.2213363313390293,1
682,1699315200,498.91,507.39,498.63,503.09,1252,0,1678670000,65.39796146540527,13.912857142857153,4.943782723878259,16.695428571428582,22.26057142857145,504.4753287541976,472.0293333333333,439.5833379124691,0.1374744878321017,1
562,1684281600,411.69,420.54,408.84,416.78,3040,0,3805270000,67.97456946544378,10.18642857142859,8.364317100439395,12.223714285714308,16.298285714285743,406.001570923192,379.892,353.782429076808,0.1374578613036968,1
430,1667520000,325.55,328.37,318.76,325.5,2990,0,4695150000,59.56057122807923,11.502857142857144,23.646723646723647,13.803428571428572,18.40457142857143,342.45811972530714,301.73066666666665,261.00321360802616,0.2699589903046458,1
109,1627516800,313.0,320.14,310.37,319.21,3495,0,4834350000,55.15114301823103,9.513571428571431,3.444811718193012,11.41628571428572,15.221714285714294,327.3569724727126,311.7633333333333,296.16969419395406,0.1000351065832796,1
946,1732492800,643.66,646.02,632.16,644.67,2831,1,956526,42.754480746234606,18.163571428571423,-3.827965330508866,21.796285714285712,29.061714285714285,711.0477512817303,662.2163333333333,613.3849153849363,0.1474787482289935,1
701,1701734400,532.51,537.37,527.11,536.84,1361,0,1572310000,56.061936279014496,11.902857142857142,-1.6145881059286988,14.283428571428573,19.044571428571427,589.5805003857189,517.8489999999999,446.117499614281,0.2770363576475728,1
799,1714089600,684.0,710.25,678.8,706.27,2471,0,3277860000,58.43864100297399,21.785714285714292,2.19061536903332,26.142857142857157,34.857142857142875,728.8914560953417,683.4766666666667,638.0618772379917,0.1328934596996972,1
329,1655078400,322.33,325.09,312.66,313.79,4392,0,5394300000,38.51191839491329,15.435,-8.11689262393487,18.522,24.696,376.8376872831848,341.673,306.5083127168152,0.2058382563631591,1
624,1692144000,484.61,488.0,473.55,473.96,2089,0,2462640000,45.7670701634698,14.290714285714282,-1.837085516641469,17.14885714285714,22.865142857142853,519.4280128478989,481.4816666666667,443.5353204854345,0.1576232235131093,1
237,1643587200,366.32,389.73,366.32,389.26,6219,0,8364410000,46.94507938135127,24.57357142857143,-7.09785202863962,29.48828571428572,39.31771428571429,459.01322584569175,409.63433333333336,360.25544082097497,0.2410876652381435,1
696,1701129600,549.01,554.33,543.85,547.22,1774,0,2456500000,65.2990453504141,12.90785714285714,8.771790335725228,15.489428571428569,20.652571428571427,581.3059956699952,505.9143333333333,430.5226709966713,0.2980412191128352,1
942,1731974400,616.48,618.41,609.4,615.66,2444,6720,672830,30.63332257299152,19.40714285714284,-11.006071118820469,23.288571428571405,31.05142857142854,793.1962847698015,685.609,578.0217152301985,0.3138444354429463,1
538,1681344000,370.35,376.75,367.03,374.38,2342,0,2883330000,45.021736395609096,12.018571428571429,-3.758354755784063,14.422285714285714,19.229714285714287,399.4148719012577,381.328,363.2411280987424,0.0948625430141907,1
803,1714608000,677.45,683.0,664.18,682.31,871,0,1099670000,51.06035682381612,23.67500000000003,0.2173817252471108,28.41000000000004,37.880000000000045,729.715831997392,683.1443333333334,636.5728346692748,0.1363445362616643,1
867,1722816000,649.84,720.17,648.11,703.49,3929,0,5170510000,37.97313716869323,51.301428571428566,-18.91166028862557,61.561714285714274,82.08228571428572,907.374006199243,809.2146666666667,711.0553271340905,0.2426039556028221,1
242,1644192000,379.67,381.57,374.11,375.6,2245,0,2737130000,43.73409870194792,20.792857142857144,-8.989580809304572,24.95142857142857,33.268571428571434,458.9830776209369,405.9793333333333,352.97558904572975,0.2611154802014729,1
113,1628035200,347.43,356.0,347.43,353.66,3470,0,4487770000,69.82579083667422,12.114285714285712,16.43510897478107,14.537142857142854,19.38285714285714,346.4246657375889,316.8893333333333,287.35400092907776,0.1864078673370026,1
