,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
33,1618185600,61.67,61.88,61.17,61.62,10217,0,14980880000,49.596431966650734,1.7721428571428572,-1.9882296802926676,2.126571428571429,2.835428571428572,66.25022404760018,62.62133333333334,58.992442619066495,0.1158995032874902,1
516,1678665600,55.77,56.36,55.55,55.94,9562,0,14272500000,44.169038888121854,1.5907142857142855,-0.7452093683463479,1.9088571428571424,2.545142857142857,60.27144729016992,57.65266666666666,55.033886043163406,0.0908468168053489,1
500,1676505600,56.15,57.47,55.93,56.84,11952,0,18815160000,56.40383126892496,1.640714285714285,-3.546580688952989,1.9688571428571413,2.625142857142856,60.41460298222172,55.99566666666667,51.57673035111162,0.1578313672684809,1
23,1616716800,60.66,61.03,59.35,60.9,10984,0,16836090000,48.0191493274973,1.961428571428572,-3.7306354726525446,2.353714285714286,3.1382857142857152,67.45373900149696,62.21900000000001,56.98426099850306,0.1682681817932447,1
784,1712275200,52.55,53.4,52.4,53.17,6186,0,10229760000,56.17782215669676,1.0214285714285718,4.193611601019009,1.2257142857142862,1.634285714285715,54.79750900135063,52.080000000000005,49.362490998649385,0.1043590246294401,1
591,1687996800,57.82,57.98,57.21,57.4,10454,0,21660450000,44.83782920045755,1.1614285714285704,-0.7092198581560347,1.3937142857142844,1.8582857142857128,61.07047107530888,57.98033333333333,54.890195591357774,0.10659261733492,1
504,1677110400,57.94,58.63,56.39,56.47,13104,0,21955330000,52.81419147292943,1.5028571428571418,-1.6030667363652236,1.80342857142857,2.404571428571427,59.86988057381395,56.54600000000001,53.22211942618606,0.1175637736997822,1
546,1682380800,63.5,63.68,62.34,62.42,17779,0,32246200000,66.9417325343529,1.721428571428571,8.255289628858838,2.0657142857142854,2.754285714285714,62.66694980349014,57.034666666666666,51.40238352984319,0.1975038504122688,1
917,1728950400,51.79,51.83,50.82,50.95,9473,1,1554152,64.15098073834419,1.8342857142857143,13.65157260762883,2.201142857142857,2.934857142857143,57.21291269167209,45.95633333333333,34.69975397499458,0.4898815263041911,1
706,1702339200,47.74,48.0,47.3,47.83,18199,0,34373260000,53.92839479839729,1.124285714285714,-3.276036400404457,1.3491428571428563,1.7988571428571425,50.71771452337814,47.70666666666666,44.69561880995519,0.1262317435737064,1
25,1617062400,59.87,61.72,59.78,61.2,12311,0,19986640000,49.43409928036857,2.0221428571428577,-1.338062227954213,2.426571428571429,3.2354285714285727,66.90866216169361,62.467,58.02533783830638,0.1422082751434715,1
233,1643068800,44.01,45.37,43.02,44.89,29160,0,54655150000,68.63854272245035,2.2957142857142854,16.114847387480612,2.7548571428571424,3.6731428571428566,44.94322840033644,38.80433333333334,32.66543826633024,0.3164025529968181,1
747,1707696000,53.58,54.49,53.47,54.47,13364,0,22571950000,69.960644466502,1.346428571428571,11.095247807464812,1.6157142857142852,2.154285714285714,53.645723999603725,50.434666666666665,47.223609333729605,0.1273353248930785,1
169,1634860800,38.65,38.79,37.81,38.0,19941,0,36971890000,43.890003550458886,1.1542857142857126,2.925243770314188,1.385142857142855,1.8468571428571403,41.500451161542536,38.279,35.05754883845746,0.1683142799729637,1
131,1630281600,44.21,44.29,43.3,43.43,17687,0,32384650000,53.64272246461164,1.3378571428571422,6.004393458628267,1.6054285714285703,2.140571428571428,48.14216031445618,42.042,35.94183968554382,0.2901936308670464,1
482,1674432000,54.54,55.9,54.54,55.38,14967,0,27179770000,73.37657808045105,1.4257142857142855,15.159076731129131,1.7108571428571429,2.281142857142857,56.60958879043883,50.18866666666666,43.7677445428945,0.2558713968799928,1
433,1667952000,40.0,40.35,39.69,39.93,11667,0,19009100000,56.8601970057114,1.906428571428572,6.253326237360302,2.2877142857142867,3.050285714285716,43.06989207086498,38.10933333333333,33.14877459580168,0.2603330105065242,1
672,1698105600,46.81,47.98,46.8,47.64,15165,0,23491050000,55.14280330428163,1.3764285714285702,7.7340569877883345,1.651714285714284,2.2022857142857126,49.11633365225261,46.209,43.30166634774738,0.1258340865308757,1
853,1721088000,42.31,43.19,41.96,42.9,13000,0,32871440000,46.6193343621764,0.9114285714285708,-3.334835511491672,1.093714285714285,1.4582857142857133,45.88030118115612,43.542,41.20369881884388,0.1074043994835386,1
85,1624492800,53.77,53.8,51.35,51.93,46978,0,108583990000,31.917907913945516,1.272857142857143,-8.12101910828026,1.5274285714285714,2.036571428571429,59.974553723748265,56.093,52.21144627625173,0.1383970806962818,1
471,1672876800,51.5,52.49,51.1,51.53,14656,0,24493780000,67.76442254656797,1.5571428571428574,5.724251128436601,1.8685714285714288,2.491428571428572,51.40226491495682,47.107,42.811735085043175,0.1823620657208833,1
668,1697587200,45.09,45.3,44.21,44.62,15829,0,25070180000,35.05619251283305,1.2064285714285714,-2.0632133450395185,1.4477142857142855,1.9302857142857144,50.08228025169585,46.58433333333333,43.08638641497082,0.1501769658624508,1
26,1617148800,61.23,61.4,60.27,60.76,12815,0,20188110000,48.10764163764493,1.9307142857142856,-3.815102105429798,2.3168571428571427,3.0891428571428574,66.7223095012585,62.559333333333335,58.396357165408176,0.133088891652463,1
479,1674000000,54.6,55.0,54.09,54.38,11959,0,20729250000,70.54311731860544,1.606428571428571,12.216260833677262,1.9277142857142853,2.570285714285714,55.25184916099828,49.43333333333333,43.61481750566838,0.2354085972082921,1
624,1692144000,54.27,54.75,53.59,53.62,8626,0,14063710000,31.842954581643557,1.35142857142857,-8.058984910836768,1.621714285714284,2.162285714285712,61.31843737003092,57.73,54.14156262996907,0.1243179411062159,1
435,1668124800,42.5,43.87,41.91,43.3,29568,0,56547480000,66.16875304881714,1.7507142857142866,23.537803138373757,2.100857142857144,2.8011428571428585,43.784989096595,38.38666666666666,32.98834423673833,0.2812602863804273,1
930,1730419200,52.21,53.16,51.7,51.72,7208,1,1507208,56.32304839136432,1.1914285714285704,-1.1278914165551583,1.4297142857142844,1.9062857142857128,56.43400761307165,51.044,45.65399238692834,0.2111906438786793,1
705,1702252800,46.4,47.66,46.39,47.62,18904,0,33979620000,52.85755649601682,1.1328571428571423,-3.368506493506501,1.3594285714285708,1.812571428571428,50.717326906699945,47.70633333333333,44.69533975996672,0.1262303498501224,1
776,1711324800,50.14,50.84,50.02,50.72,5903,0,9805230000,44.546308494868406,0.9457142857142858,-0.3732076212924725,1.134857142857143,1.5131428571428571,55.78797570764246,52.526,49.26402429235753,0.1242042305769509,1
498,1676332800,57.1,58.05,56.92,57.57,9543,0,15793750000,61.62818511533155,1.8585714285714272,4.634678298800431,2.2302857142857127,2.9737142857142835,60.803565041274034,55.58866666666666,50.37376829205929,0.1876245172735703,1
89,1625011200,51.93,53.0,51.84,52.68,21391,0,46610530000,40.7445536063159,1.3685714285714288,-4.875406283856993,1.6422857142857146,2.189714285714286,60.185552420606896,55.453,50.72044757939311,0.1706869752982487,1
712,1703030400,49.1,49.21,47.53,47.57,13745,0,22777350000,50.08733595538354,1.1721428571428578,3.211108700368837,1.4065714285714292,1.8754285714285728,50.69684447419176,47.72466666666666,44.752488859141565,0.1245552044725341,1
903,1727222400,43.79,44.94,43.48,44.83,15398,1,2790677,74.46244621624723,1.1614285714285733,12.131065532766389,1.393714285714288,1.8582857142857168,43.45724000976812,40.537666666666674,37.618093323565226,0.1440424959388279,1
936,1731283200,50.7,51.05,50.21,50.63,5712,3057,1000004,49.84756858263972,1.2814285714285714,-2.164251207729464,1.5377142857142856,2.0502857142857143,53.60327794663533,51.835,50.06672205336467,0.0682271803466896,1
181,1636416000,41.57,41.84,40.65,41.09,17072,0,35619490000,54.27988804825799,1.576428571428572,3.841293909527427,1.8917142857142863,2.522285714285715,42.49400628680062,39.25666666666667,36.01932704653272,0.1649319667216074,1
528,1680048000,54.74,55.48,54.46,54.89,9086,0,13814110000,45.2434708024367,1.534285714285714,-2.9182879377431883,1.8411428571428567,2.454857142857142,60.25393614552767,56.36566666666667,52.47739718780567,0.137965882736926,1
400,1663891200,34.75,35.51,34.47,35.49,22557,0,44602820000,41.334103593573104,1.698571428571429,-2.1235521235521126,2.0382857142857147,2.717714285714287,39.92887606544466,37.61,35.29112393455534,0.1233116759077193,1
5,1614643200,63.12,65.2,63.05,64.94,17014,0,31765080000,72.04585281063704,2.253571428571429,19.353060099246463,2.704285714285715,3.605714285714287,66.03480039997086,56.26033333333333,46.4858662666958,0.3474727747781159,1
909,1727913600,50.97,52.06,50.61,51.96,8527,1,1469748,83.2082400947113,1.751428571428573,29.835082458770607,2.101714285714287,2.8022857142857163,51.59405528379498,42.61233333333333,33.630611382871685,0.4215550404246805,1
535,1681084800,56.76,57.47,56.65,57.04,5932,0,9412910000,54.17889383320248,1.4549999999999987,3.784570596797668,1.7459999999999984,2.327999999999998,60.5348581264652,56.50666666666667,52.47847520686813,0.1425740252406277,1
804,1714694400,47.14,47.22,46.57,46.87,12172,0,21362740000,43.274358057566765,1.4835714285714292,-6.70780254777071,1.780285714285715,2.373714285714287,55.58572055693674,49.316,43.04627944306326,0.2542671975398142,1
199,1638748800,34.8,37.96,34.72,36.75,30919,0,59190290000,45.46442006873577,2.035,-11.124546553808951,2.442,3.256,43.38615606729898,39.07533333333333,34.76451059936768,0.2206416358469444,1
742,1707091200,49.87,51.39,49.82,51.13,18604,0,33475240000,58.0460148060189,1.39,4.261827079934754,1.668,2.224,51.58474546726285,49.69500000000001,47.805254532737166,0.0760537465444347,1
335,1655856000,30.99,32.08,30.97,31.58,9789,0,27033650000,42.81215430783308,1.7107142857142854,-10.182025028441409,2.0528571428571425,2.7371428571428567,37.16864465259224,33.33133333333333,29.494022014074435,0.2302524943051923,1
657,1696291200,45.07,45.81,44.66,44.76,9432,0,16109340000,24.012291846202015,1.2092857142857152,-8.335039934466518,1.4511428571428582,1.9348571428571444,56.685283446871765,49.68899999999999,42.69271655312822,0.281602907962397,1
338,1656288000,33.56,33.91,32.76,33.19,17548,0,30086070000,49.30765308584785,1.745714285714286,-6.427967296306742,2.094857142857143,2.7931428571428576,36.96910595658897,33.54966666666667,30.130227376744365,0.2038434136408092,1
872,1723420800,38.46,38.92,38.06,38.44,11328,0,29487000000,37.32425037384032,1.216428571428572,-6.56295576081673,1.4597142857142864,1.9462857142857155,43.9032721722778,40.580000000000005,37.25672782772221,0.1637886728574566,1
477,1673568000,53.0,55.05,52.96,54.95,14616,0,27277290000,74.06430067587014,1.6728571428571424,18.12123817712812,2.0074285714285707,2.676571428571428,54.19140972568122,48.965,43.73859027431879,0.213475328323546,1
210,1640044800,34.54,37.22,34.54,37.03,25733,0,47153920000,49.42062578969533,1.769285714285715,8.97586815773986,2.123142857142858,2.8308571428571443,42.063161950768034,37.751,33.43883804923196,0.2284528595675895,1
640,1694131200,49.72,50.1,48.43,48.88,27030,0,52236660000,25.024552004957695,1.2949999999999986,-8.395802098950519,1.5539999999999985,2.071999999999998,60.54625338515369,55.09666666666667,49.64707994817965,0.1978191076950941,1
613,1690848000,59.19,60.47,58.94,59.23,7693,0,13388110000,53.80258430325411,1.6528571428571428,-0.1180438448566615,1.9834285714285715,2.644571428571429,61.1094015331574,58.114,55.1185984668426,0.1030870885899232,1
700,1701648000,46.75,46.89,45.43,45.63,16620,0,27238170000,38.285095120859246,1.1485714285714284,-4.178916421671556,1.378285714285714,1.8377142857142852,50.30588146578873,47.94866666666667,45.591451867544606,0.0983224336772129,1
41,1619049600,58.27,60.06,57.75,58.32,37605,0,63500040000,39.96077535472826,1.648571428571428,-5.707356507679872,1.978285714285713,2.637714285714285,65.74447034475854,61.874,58.003529655241465,0.1251081341034533,1
319,1653609600,34.26,34.85,34.22,34.61,9896,0,16837440000,51.38183158740117,1.972857142857143,8.665620094191516,2.3674285714285714,3.156571428571429,39.0309098643235,34.52933333333333,30.027756802343152,0.2607392669608549,1
906,1727654400,51.39,51.62,49.96,50.35,16673,1,3204979,81.06529480658253,1.5778571428571442,28.214922332569387,1.893428571428573,2.5245714285714307,47.97091293580056,41.53099999999999,35.09108706419942,0.310125589838943,1
506,1677456000,56.73,56.73,55.7,56.0,10249,0,15214020000,50.06214450831568,1.45142857142857,-3.214656066367092,1.741714285714284,2.322285714285712,59.588059061056896,56.726,53.8639409389431,0.1009081924005534,1
614,1690934400,58.28,58.91,57.56,58.06,7781,0,13090200000,48.83724063804883,1.6328571428571423,-3.458596607914863,1.9594285714285704,2.612571428571428,61.08051494008909,58.093,55.10548505991092,0.1028528373500795,1
