,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
946,1732492800,140.84,141.18,139.09,140.53,5388,1,729497,82.74305745581773,3.744285714285716,19.50846160387788,4.493142857142859,5.990857142857145,140.39283580440016,123.225,106.05716419559982,0.2786420905563022,1
56,1620864000,78.77,81.56,78.4,81.18,7470,0,14759210000,49.20893757653712,2.960714285714285,-0.8306865379916841,3.552857142857142,4.737142857142856,88.68425684089394,82.35366666666667,76.0230764924394,0.1537415498413898,1
98,1626220800,81.82,82.35,80.52,80.92,5278,0,9371500000,35.54027735850413,2.565000000000001,-11.995649809679175,3.0780000000000007,4.104000000000002,93.59344312042434,87.38066666666666,81.16789021290897,0.1422002530023655,1
598,1689033600,92.27,93.49,91.78,92.88,5005,0,10362870000,73.23308945370597,1.567142857142855,4.1956472963876985,1.880571428571426,2.507428571428568,95.19176219930304,87.14866666666667,79.1055711340303,0.1845833296199529,1
151,1632787200,93.33,94.56,92.22,92.44,4285,0,7541630000,65.05291257807036,2.914285714285715,6.7066835969063865,3.4971428571428578,4.662857142857145,93.35146256088282,86.51733333333333,79.68320410578383,0.1579828911559032,1
375,1660780800,97.36,97.36,96.14,96.51,4294,0,5582060000,56.232745247124704,2.9657142857142853,2.73578880136258,3.5588571428571423,4.745142857142857,103.67110131155356,92.43733333333331,81.20356535511308,0.2430569462169738,1
720,1704240000,91.0,91.14,89.33,89.35,3869,0,4997400000,48.90488941598704,2.2921428571428586,-0.7883633133466665,2.75057142857143,3.667428571428574,96.57769578261528,88.65033333333334,80.72297088405139,0.1788456320739221,1
523,1679443200,68.16,68.66,66.23,66.24,5148,0,11564830000,36.22012285452186,1.8528571428571416,-8.596660687180908,2.22342857142857,2.964571428571426,81.63290724868646,72.33366666666667,63.03442608464688,0.2571206745227844,1
487,1675036800,79.96,81.28,79.29,79.46,4427,0,8285110000,67.00721930535794,2.0328571428571416,9.964018820924425,2.4394285714285697,3.252571428571427,79.78503392144533,72.79433333333333,65.80363274522132,0.1920671642420519,1
321,1654041600,95.89,97.34,93.65,94.49,6455,0,9202100000,49.4975508806828,4.869999999999999,12.287581699346392,5.843999999999999,7.791999999999999,113.34474004709958,95.65533333333332,77.96592661956709,0.3698571966107395,1
371,1660262400,97.74,98.09,96.44,97.88,2147,0,2926780000,62.23366442907784,3.163571428571429,6.06848721283051,3.7962857142857143,5.061714285714287,102.08150501287548,90.68833333333332,79.29516165379118,0.2512599197884803,1
304,1651795200,95.0,96.88,85.93,92.24,19662,0,29915960000,27.125367816065577,5.47142857142857,-15.562065177590627,6.565714285714283,8.754285714285713,122.4130351476966,109.23033333333336,96.04763151897008,0.2413743767335066,1
860,1721865600,93.13,94.11,92.19,92.22,4723,0,6188900000,42.6144101822298,2.067857142857141,-3.2623518304835826,2.481428571428569,3.3085714285714256,99.08741059159904,93.52866666666664,87.96992274173427,0.1188671692443469,1
424,1666828800,79.58,81.09,77.8,78.13,5274,0,6392270000,44.40393400044067,2.830714285714284,-0.5853161979895761,3.396857142857141,4.529142857142855,85.68116297826508,79.04066666666668,72.40017035506828,0.1680273355892341,1
76,1623369600,87.33,88.07,87.01,87.45,3868,0,6420770000,50.30586849672675,2.16357142857143,-1.994844783144684,2.596285714285716,3.4617142857142884,95.43550298984196,86.02,76.60449701015804,0.2189142755136469,1
182,1636502400,116.0,117.54,113.95,115.01,6717,0,12776990000,66.46012740370043,4.257142857142855,14.335421016005569,5.108571428571425,6.811428571428568,116.9052605705564,103.093,89.2807394294436,0.2679572923584802,1
803,1714608000,89.65,89.68,87.61,88.29,6508,0,11034090000,31.87695232367726,2.6942857142857144,-12.618764845605702,3.233142857142857,4.310857142857143,112.2757380963798,97.739,83.2022619036202,0.2974603402199696,1
925,1729814400,117.0,117.48,115.94,116.36,1832,1,236836,72.2370779719437,1.835000000000002,5.084439627923774,2.202000000000002,2.9360000000000035,119.89879919075592,110.63266666666668,101.36653414257742,0.1675116907740795,1
856,1721347200,95.44,95.5,93.54,95.08,3689,0,5059270000,51.60072519162184,2.05785714285714,1.4078498293515285,2.469428571428568,3.2925714285714243,98.93245752633266,93.089,87.24554247366734,0.1255456074580811,1
165,1634515200,101.0,102.62,100.2,102.4,5067,0,8252570000,71.36451554093938,2.797857142857145,10.774556469061022,3.357428571428574,4.476571428571432,104.96939162269108,93.15766666666669,81.34594171064225,0.2535856763842894,1
65,1621987200,90.56,91.4,89.9,90.28,3703,0,5953240000,61.879820665633424,3.7178571428571408,20.0851290236765,4.461428571428569,5.948571428571426,91.13982828146516,83.04933333333334,74.9588383852015,0.1948358794322691,1
911,1728259200,110.29,111.23,110.21,110.73,2039,1,274153,71.95388339793597,2.233571428571428,7.588418188884573,2.6802857142857137,3.573714285714285,114.25118211906232,101.986,89.72081788093769,0.2405267805201168,1
499,1676419200,77.71,79.15,77.7,78.98,3869,0,5286330000,55.41959138026118,2.1778571428571425,-0.5790533736152993,2.613428571428571,3.484571428571428,83.5656865865303,76.80833333333334,70.05098008013637,0.1759536487758785,1
935,1731024000,123.62,123.93,122.15,122.95,5555,1404,870501,70.11491578595577,2.6385714285714306,6.959547629404089,3.1662857142857166,4.221714285714289,123.64822919022431,115.49333333333334,107.33843747644237,0.1412184690064244,1
354,1658275200,91.06,93.27,90.67,92.79,6221,0,7665460000,62.37274607402228,3.231428571428571,10.42484826847555,3.877714285714285,5.170285714285714,94.260251687575,85.99533333333333,77.73041497909168,0.1922178340121167,1
139,1631232000,86.6,87.33,85.32,86.09,5281,0,7265090000,55.517328231685205,2.183571428571431,7.370915440259411,2.620285714285717,3.4937142857142898,89.55393951945524,83.68966666666667,77.8253938138781,0.1401432957343656,1
389,1662595200,90.46,91.64,89.67,90.75,4061,0,4867320000,44.94803832476983,2.526428571428572,-5.968293441094192,3.031714285714286,4.042285714285715,100.40709645917586,94.34133333333334,88.27557020749082,0.1285918464690455,1
454,1670544000,71.54,73.18,71.28,71.77,4157,0,5679030000,46.77410249699682,1.9978571428571417,8.152501506931882,2.39742857142857,3.196571428571427,80.5793305108854,72.934,65.2886694891146,0.2096506570566649,1
773,1710892800,103.55,104.79,103.31,104.42,2667,0,3399710000,71.75081693024478,1.8928571428571428,7.738340899711102,2.271428571428572,3.0285714285714285,107.46212635141836,96.25966666666666,85.05720698191496,0.2327550067993525,1
67,1622160000,91.25,91.5,89.94,90.11,3820,0,5156690000,61.10533463294873,3.145714285714285,8.435619735258731,3.774857142857142,5.033142857142856,92.44705237013892,83.695,74.94294762986105,0.2091415824156506,1
461,1671494400,67.7,69.6,67.7,68.69,4367,0,5713620000,39.72952438507036,2.0621428571428564,-5.632641846407485,2.474571428571428,3.2994285714285705,77.0374063036419,71.54266666666668,66.04792702969145,0.1536073476985824,1
138,1631145600,85.58,87.59,84.8,86.34,4226,0,5914250000,56.54427336053174,2.182142857142859,8.603773584905666,2.618571428571431,3.4914285714285747,89.39985994233683,83.51033333333334,77.62080672432984,0.1410490504329642,1
22,1616630400,81.25,84.31,79.9,83.65,6048,0,10835090000,46.176254910470114,2.710714285714284,-6.858924395946995,3.252857142857141,4.337142857142855,93.5217577225174,87.24633333333333,80.97090894414924,0.1438553151616858,1
690,1700179200,89.33,90.1,88.75,89.59,3331,0,6425410000,68.32741338551237,2.442857142857142,13.982188295165408,2.9314285714285706,3.908571428571428,92.08067378388289,84.066,76.05132621611712,0.1906757496225081,1
224,1641859200,115.2,116.81,113.07,116.0,5552,0,8363260000,52.74706140425443,4.0950000000000015,1.576182136602449,4.9140000000000015,6.552000000000003,125.50513916719936,112.57733333333334,99.64952749946733,0.2296697825589405,1
310,1652659200,90.96,92.11,86.9,86.97,6710,0,10088970000,33.87670068600167,6.04285714285714,-19.247910863509752,7.251428571428567,9.668571428571424,122.64067114486916,103.21066666666664,83.78066218846416,0.3765115584604142,1
567,1684886400,81.72,82.39,81.19,82.1,3908,0,6281810000,68.79425273903081,2.523571428571429,22.300014896469538,3.028285714285716,4.037714285714287,87.48879232035,73.68133333333334,59.87387434631668,0.3747885213898588,1
638,1693958400,82.31,82.9,80.61,80.7,8454,0,12519270000,26.605960315594075,1.337142857142857,-5.746320953048355,1.6045714285714283,2.1394285714285712,93.42866805399603,86.31033333333333,79.19199861267063,0.164947450571682,1
943,1732060800,134.83,136.52,134.19,136.51,3354,7843,467463,79.65278039198931,3.5621428571428604,16.54571843251088,4.2745714285714325,5.699428571428577,134.3742577108194,120.694,107.0137422891806,0.2266932525364872,1
140,1631491200,88.0,89.81,86.52,89.09,6802,0,9370330000,63.97307134785464,2.199285714285717,6.771332694151493,2.6391428571428603,3.518857142857147,89.92858016238014,84.02833333333334,78.12808650428653,0.1404346985115371,1
867,1722816000,89.14,89.81,87.33,88.08,8639,0,14832770000,35.36312323857793,2.8321428571428564,-9.36406668038692,3.398571428571428,4.53142857142857,99.23716241803793,94.09633333333332,88.95550424862876,0.1092673625547841,1
840,1719360000,89.36,90.41,89.09,90.32,4379,0,7253750000,43.46008052205361,2.018571428571428,-3.4733354707705466,2.4222857142857133,3.2297142857142846,100.45007213442808,93.405,86.35992786557192,0.1508500002018753,1
965,1734912000,132.88,133.54,131.42,132.46,1459,15992,174705,48.65790278475768,2.877142857142855,-3.5602475427739257,3.4525714285714257,4.6034285714285685,142.8358377818847,134.75333333333333,126.67082888478195,0.1199599928048982,1
420,1666310400,78.27,80.27,77.79,79.58,4053,0,5168560000,46.9005740735884,2.4835714285714263,1.556916794282796,2.9802857142857118,3.973714285714282,92.2958893598596,80.81133333333334,69.32677730680709,0.2842313213458405,1
552,1683072000,67.9,68.47,67.23,67.26,3872,0,5188130000,45.17175727946072,1.4478571428571436,-4.649844060107741,1.7374285714285722,2.31657142857143,70.90873883097694,68.054,65.19926116902306,0.0838962832743686,1
529,1680134400,69.21,69.77,68.21,69.19,4255,0,6177700000,48.752522108140376,1.7814285714285714,3.810952738184534,2.137714285714285,2.8502857142857145,77.26176348811263,70.07,62.87823651188735,0.2052736831200982,1
470,1672790400,69.42,71.63,69.04,71.02,6186,0,7808990000,50.12884919877771,1.950714285714288,-4.337284482758619,2.3408571428571454,3.1211428571428605,74.69176507167835,70.56700000000001,66.44223492832167,0.1169035121707976,1
540,1681689600,68.75,69.0,67.88,68.42,4079,0,8188280000,44.98335692667139,1.2928571428571434,1.9216445702368636,1.551428571428572,2.0685714285714294,71.79227925467342,68.49000000000001,65.1877207453266,0.0964309900620063,1
841,1719446400,90.29,90.9,89.92,90.86,4569,0,7486230000,45.4916647777425,1.93,-1.5387949718248826,2.3159999999999994,3.088,100.2838606185655,93.24,86.19613938143449,0.1510909613591914,1
284,1649289600,109.86,110.47,106.84,109.59,4588,0,7125400000,42.43412212697086,3.599285714285714,-3.0005310674455656,4.3191428571428565,5.758857142857143,124.36710752021924,114.037,103.70689247978078,0.1811711553306247,1
465,1672099200,70.39,70.39,69.19,69.58,3778,0,4860850000,43.19757117424975,1.8985714285714292,-1.8756169792694943,2.278285714285716,3.037714285714287,75.71841343368452,70.97633333333333,66.23425323298214,0.1336242625575057,1
81,1623974400,84.0,85.86,83.65,85.67,5839,0,8496310000,45.588957100224725,2.037857142857145,-4.9273110642547975,2.445428571428574,3.260571428571432,94.18853113959942,87.132,80.07546886040059,0.1619733539824499,1
66,1622073600,90.58,91.01,88.88,90.5,7140,0,10646450000,62.25574698785746,3.4171428571428564,13.139142392799108,4.100571428571428,5.46742857142857,91.84966925214842,83.391,74.9323307478516,0.2028676776186497,1
578,1686268800,83.24,84.26,83.17,84.17,3053,0,8504480000,68.39521238936734,1.5228571428571434,-0.6609229316652924,1.827428571428572,2.4365714285714297,90.21459053006932,79.01666666666667,67.818742803264,0.2834319476077451,1
857,1721606400,95.2,95.52,93.65,95.08,2888,0,4351330000,51.60072519162184,2.0935714285714258,0.3165224730955868,2.512285714285711,3.349714285714281,99.06165697102894,93.18233333333332,87.30300969563773,0.126189663370287,1
136,1630972800,85.91,87.92,85.88,87.69,4320,0,7073680000,61.969786285384295,2.128571428571429,8.837036117661668,2.554285714285715,3.4057142857142875,88.96574315619323,83.09366666666668,77.22159017714013,0.1413363190020871,1
564,1684454400,84.55,84.9,83.81,84.73,3426,0,6145770000,81.71461046335607,2.4478571428571434,23.87426900584795,2.937428571428572,3.9165714285714297,84.75054103566526,72.37866666666666,60.00679229766805,0.3418652190976699,1
400,1663891200,76.11,76.83,73.35,75.3,13698,0,18334070000,24.220048036394203,3.4657142857142853,-15.987950463014611,4.158857142857142,5.5451428571428565,102.08822125467134,91.06733333333334,80.04644541199534,0.2420382263966881,1
851,1720742400,96.49,98.99,96.14,97.97,7440,0,16664060000,62.347113347150376,2.0342857142857107,5.400753093060781,2.441142857142853,3.254857142857137,97.6102248746346,92.636,87.6617751253654,0.1073929114951984,1
157,1633478400,97.91,101.09,97.51,101.02,4254,0,9424450000,74.73103339581276,3.212142857142858,16.382488479262673,3.854571428571429,5.1394285714285735,98.71742755344007,89.50800000000001,80.29857244655993,0.205778870122002,1
243,1644278400,111.69,116.82,111.01,116.58,4992,0,8092020000,58.867874116800046,4.877857142857141,2.8677314038648194,5.8534285714285685,7.804571428571426,124.10288587940056,113.24033333333334,102.37778078726612,0.1918495332240377,1
823,1717113600,93.1,94.04,92.75,93.73,4947,0,8058330000,45.11601379040801,2.4664285714285725,-3.381094732501805,2.959714285714287,3.946285714285717,101.69206400080674,93.982,86.27193599919326,0.1640753335916822,1
359,1658880000,90.81,93.73,90.28,93.32,4394,0,6050110000,60.58168628351854,2.932857142857144,8.600023274758508,3.519428571428573,4.692571428571431,93.11692448896244,85.87666666666665,78.63640884437086,0.1686199081387056,1
430,1667520000,76.92,76.92,67.61,70.31,42988,0,62190190000,33.885653986268935,3.537142857142856,-9.905176832393648,4.244571428571427,5.65942857142857,82.70276854717544,78.05600000000001,73.40923145282459,0.1190624307465262,1
80,1623888000,87.02,87.69,84.74,85.37,4057,0,5527380000,44.53855408262511,1.9914285714285744,-5.668508287292813,2.389714285714289,3.186285714285719,95.07072102785575,86.78233333333333,78.49394563881089,0.1910155529625256,1
126,1629676800,81.09,83.68,80.77,83.44,6665,0,13158270000,54.37446055616999,2.9178571428571423,6.496490108487561,3.5014285714285704,4.668571428571428,85.53295808912495,80.705,75.87704191087505,0.1196445843287268,1
640,1694131200,80.87,81.51,80.15,80.94,6159,0,9975060000,28.25169206181685,1.3585714285714272,-4.110887335623739,1.6302857142857126,2.173714285714284,89.60373202911808,85.20866666666666,80.81360130421524,0.1031600548250511,1
648,1695168000,82.87,83.44,81.44,81.5,2878,0,5455440000,39.20378187125406,1.6164285714285722,-3.2985287138111072,1.9397142857142864,2.586285714285716,87.36349553660564,83.93533333333333,80.50717113006102,0.0816857946976396,1
809,1715299200,97.1,97.13,94.81,97.01,4906,0,7593430000,55.919272765013815,2.614285714285714,9.66538548496497,3.137142857142857,4.182857142857142,107.75794046957073,95.78933333333336,83.82072619709598,0.249894361297793,1
520,1679011200,66.35,66.65,65.82,66.34,4080,0,7480260000,31.473105559362864,1.7064285714285714,-7.643046081024635,2.0477142857142856,2.7302857142857144,83.35635411042074,73.55600000000001,63.75564588957928,0.2664732750671794,1
886,1724976000,97.91,97.98,96.89,97.67,2218,0,3257460000,61.35645348611341,1.624285714285715,6.638279288131891,1.949142857142858,2.598857142857144,99.24394920883871,94.17366666666666,89.10338412449461,0.1076794123376043,1
127,1629763200,84.12,86.15,83.66,85.74,8879,0,17309180000,59.59563103374509,2.787857142857143,7.821931589537222,3.345428571428571,4.460571428571429,85.99203677367417,80.83699999999999,75.6819632263258,0.1275415162283158,1
709,1702598400,92.91,93.66,91.86,93.02,9354,0,13241660000,66.94082839438485,2.3535714285714286,8.213122382503494,2.8242857142857143,3.765714285714286,92.42333594296451,86.87066666666666,81.3179973903688,0.1278376116901262,1
124,1629331200,79.68,80.43,78.14,79.5,8929,0,13105420000,42.752056174527,2.914999999999999,0.7221588749524809,3.497999999999999,4.663999999999999,85.88141223651884,80.85433333333334,75.82725443014785,0.1243490285786083,1
932,1730764800,117.87,118.56,116.8,117.59,2769,1334,388589,68.97080687150408,1.9085714285714317,2.788461538461536,2.2902857142857176,3.0537142857142907,120.51032070882206,113.839,107.16767929117792,0.1172062423039918,1
890,1725580800,94.68,95.1,92.57,92.8,3213,1,641153,41.7941720442028,1.825714285714287,-2.49028055059368,2.190857142857144,2.9211428571428595,99.24734277945868,94.24133333333334,89.23532388720801,0.1062380861785769,1
843,1719792000,94.53,95.13,94.17,94.78,8782,0,12136950000,57.63136520213766,1.9885714285714269,5.604456824512536,2.3862857142857123,3.1817142857142837,99.9549482253992,93.095,86.2350517746008,0.1473752237048003,1
757,1708992000,92.8,93.83,92.25,93.56,6192,0,9519480000,57.34218219916777,2.577142857142855,5.324777665203202,3.0925714285714263,4.123428571428568,94.33499029593008,90.25466666666668,86.17434303740328,0.090418008950896,1
62,1621555200,89.66,89.66,87.91,89.23,6507,0,9851150000,61.95022772628983,3.747857142857142,8.618381010346923,4.49742857142857,5.996571428571428,88.50721230733357,82.28866666666667,76.07012102599977,0.1511397837045256,1
695,1701043200,86.72,87.48,85.9,85.96,4719,0,6621730000,50.248635012303296,1.8399999999999983,0.6675254713666626,2.207999999999998,2.9439999999999973,92.61152628340862,84.27366666666667,75.93580704992472,0.1978758002715427,1
411,1665360000,78.7,78.75,77.0,78.1,2342,0,2878440000,39.160021891528174,3.109285714285713,-10.095545067342018,3.731142857142856,4.974857142857142,98.3528700489273,84.57433333333333,70.79579661773936,0.3258325823577832,1
883,1724716800,95.75,97.05,95.48,96.62,2424,0,3103960000,58.21124595783548,1.6035714285714289,7.272121683135352,1.9242857142857144,2.5657142857142863,98.80380883738418,94.011,89.21819116261584,0.1019627243063933,1
752,1708387200,92.88,92.98,91.17,92.07,7138,0,10603220000,57.15924713288303,2.1214285714285697,3.635749662314261,2.545714285714284,3.3942857142857115,92.89900056545277,89.83633333333334,86.77366610121392,0.0681832643537564,1
463,1671667200,69.59,70.61,69.17,70.58,5917,0,8141370000,46.08249287382139,2.0364285714285706,-4.531313404571904,2.4437142857142846,3.258285714285713,76.87239005111475,71.40133333333333,65.9302766155519,0.15324802667872,1
736,1706227200,89.37,89.86,88.89,89.31,6555,0,9714080000,47.44085959214088,1.932857142857142,0.1120950566080131,2.31942857142857,3.092571428571427,94.5016176225764,91.05533333333334,87.60904904409027,0.0756964839528286,1
705,1702252800,85.93,87.13,85.09,87.08,5500,0,7454470000,57.11608697529534,1.8849999999999991,-3.061338083045753,2.2619999999999987,3.0159999999999987,91.31954097102292,85.54033333333334,79.76112569564376,0.1351224016200446,1
479,1674000000,76.32,76.73,73.47,73.52,4911,0,6616880000,54.53464215557261,2.185,5.662546708824372,2.622,3.4960000000000004,75.55800587552122,71.52966666666666,67.5013274578121,0.1126340830756812,1
918,1729036800,114.46,114.85,112.91,114.4,4524,1,645262,72.44031509522061,2.075714285714286,5.788792306269655,2.490857142857143,3.321142857142858,119.83913995871958,106.069,92.29886004128042,0.2596449473214526,1
756,1708905600,94.57,94.74,92.15,92.17,11285,0,16243150000,54.0291325073278,2.6857142857142837,5.433539235872798,3.22285714285714,4.297142857142854,94.04774276756774,90.15833333333332,86.26892389909892,0.0862795326939881,1
927,1730160000,118.09,119.02,117.98,118.86,3113,1,371528,77.19832264067668,1.9164285714285725,5.6063971568191935,2.2997142857142867,3.066285714285716,120.61392350189492,111.72833333333332,102.84274316477172,0.1590570610599208,1
548,1682553600,65.55,67.63,65.2,67.37,4525,0,7187360000,45.42340564304492,1.3721428571428589,-2.5177253653595644,1.6465714285714304,2.195428571428574,70.99795647189126,68.02966666666667,65.06137686144208,0.087264570022625,1
143,1631750400,86.63,87.22,85.26,86.8,7153,0,9261850000,54.76497515118459,2.310714285714288,2.418879056047194,2.772857142857146,3.697142857142861,89.98687168078847,84.86166666666666,79.73646165254486,0.1207896383711955,1
18,1616112000,85.66,86.13,84.66,84.68,5792,0,9016690000,46.887840947039344,3.209999999999998,-8.818778938300847,3.851999999999998,5.135999999999998,95.70857557084122,86.472,77.23542442915877,0.2136315933675924,1
947,1732579200,140.32,140.65,137.74,138.85,5054,1,643746,76.90399706198174,3.2342857142857158,10.198412698412694,3.881142857142858,5.174857142857145,141.82102875238553,124.009,106.19697124761446,0.287269936091502,1
813,1715817600,96.77,97.1,96.06,96.39,3902,0,5028430000,53.84694630869037,2.4771428571428564,7.35048446374874,2.9725714285714275,3.96342857142857,104.84132583239249,94.744,84.64667416760749,0.2131496629315313,1
429,1667433600,75.85,80.5,75.26,79.9,7516,0,11839790000,49.964027314693546,2.8485714285714274,5.325599789085165,3.418285714285713,4.557714285714284,81.99721102793215,78.22233333333334,74.44745563873452,0.0965166221394268,1
547,1682467200,66.55,66.82,64.96,65.41,4348,0,6199850000,34.01962672916841,1.2550000000000014,-4.9135048698938935,1.5060000000000018,2.0080000000000022,70.99961324052782,68.01833333333333,65.03705342613884,0.0876610690410278,1
208,1639699200,101.57,105.96,100.82,105.17,7682,0,10912200000,46.5483376228468,5.304285714285714,-2.484932777005093,6.365142857142857,8.486857142857144,120.94949981614054,110.517,100.08450018385945,0.1887944807792565,1
283,1649203200,111.26,112.09,108.14,109.54,7134,0,12749170000,42.34506752402227,3.545000000000001,-1.0925507900677145,4.254,5.6720000000000015,125.38208098642664,114.53033333333332,103.67858568024002,0.1894999750242581,1
870,1723075200,90.96,92.12,89.69,91.66,4782,0,7560510000,46.01994921917282,2.857142857142858,-3.596970971813212,3.4285714285714297,4.571428571428573,99.09127695356214,94.16966666666666,89.24805637977117,0.1045264459587939,1
236,1643328000,101.6,105.44,99.76,105.28,7177,0,11336030000,37.85175076185229,4.795714285714287,-9.178743961352655,5.754857142857144,7.67314285714286,125.71951507415436,113.61933333333332,101.51915159251227,0.2129951195070271,1
560,1684108800,78.01,80.61,77.63,80.42,5435,0,13129810000,76.0591630194582,2.442857142857143,21.077988557663357,2.9314285714285715,3.908571428571429,79.49839782763416,70.52733333333335,61.55626883903253,0.2543996510374459,1
114,1628121600,79.71,84.78,79.54,84.76,8937,0,14356380000,56.830366930458986,3.3192857142857144,7.94701986754968,3.983142857142857,5.310857142857143,91.56899780745444,82.57300000000001,73.57700219254556,0.217891993931538,1
658,1696377600,83.23,84.26,82.41,84.11,3669,0,5636970000,53.93192783376334,1.7385714285714309,-1.0819710690344604,2.086285714285717,2.7817142857142896,86.13152197163444,82.719,79.30647802836555,0.0825087820605773,1
535,1681084800,68.53,69.9,68.35,69.73,3528,0,5487660000,51.09351158653757,1.547857142857142,2.4988975452006508,1.8574285714285703,2.476571428571427,73.25480809594882,68.93133333333334,64.60785857071787,0.1254429460027508,1
914,1728518400,112.23,113.88,112.18,112.71,3288,1,537132,75.41875019483123,2.0792857142857133,8.740955137481897,2.495142857142856,3.3268571428571416,116.67310195355556,103.55566666666668,90.43823137977778,0.253340753029235,1
323,1654214400,95.71,96.27,94.4,95.3,4450,0,6727000000,50.42972468939868,4.576428571428571,4.461251781212313,5.491714285714285,7.322285714285714,110.74664498300235,94.77333333333333,78.8000216836643,0.3370845170864314,1
872,1723420800,92.18,92.32,91.25,91.59,2664,0,3436010000,45.96545245893146,2.845714285714287,-4.204581110762469,3.4148571428571444,4.553142857142859,99.05504919716633,94.142,89.22895080283368,0.1043752883339278,1
410,1665100800,78.9,79.68,78.01,78.59,3099,0,4059000000,40.01144343269855,3.096428571428571,-9.65628233130244,3.715714285714285,4.954285714285714,98.8307383513244,85.03133333333334,71.23192831534226,0.3245722365400458,1
805,1714953600,95.47,96.36,93.67,95.87,7202,0,10949340000,53.53516281708125,2.600714285714285,3.935385949696455,3.1208571428571426,4.161142857142857,110.87063587998566,97.019,83.16736412001435,0.2855448083362156,1
551,1682985600,67.89,68.32,66.39,67.76,5046,0,7022070000,47.45587505333189,1.4457142857142873,-3.0753826348161803,1.7348571428571449,2.31314285714286,70.98942087136548,68.11966666666667,65.24991246196787,0.0842562609339096,1
262,1646697600,100.51,109.87,98.01,105.99,13591,0,22431160000,41.82892940446154,7.271428571428568,-11.512773417932882,8.72571428571428,11.63428571428571,126.92101474430734,113.595,100.26898525569266,0.2346232623673109,1
