,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
129,1629936000,58.62,58.89,58.01,58.07,14637,0,23769780000,54.05115368317061,1.5014285714285722,1.149625500783842,1.8017142857142865,2.402285714285716,60.38728444490695,55.902,51.416715555093056,0.1604695518910573,1
476,1673481600,118.58,121.83,118.53,121.04,8371,0,12566970000,61.61394690271989,3.5792857142857164,5.65642458100559,4.295142857142859,5.726857142857146,121.62139652199444,113.82133333333334,106.02127014467226,0.1370580182155849,1
432,1667865600,119.63,119.63,117.32,119.12,5559,0,8184770000,67.04368406237677,3.3114285714285714,9.3445933541399,3.973714285714285,5.298285714285715,121.42574409357944,109.585,97.74425590642058,0.2161015484524238,1
139,1631232000,58.15,58.22,56.53,56.88,16287,0,27301370000,47.22840259618487,1.6871428571428564,3.890410958904114,2.024571428571428,2.6994285714285704,60.582036280990536,57.36933333333333,54.15663038567613,0.1120007070324635,1
146,1632182400,57.85,58.36,56.67,57.84,15420,0,21464090000,49.95928888416021,1.7278571428571416,-2.3962200472494004,2.07342857142857,2.764571428571427,60.61835590090624,57.955333333333336,55.29231076576043,0.0918991372979042,1
558,1683763200,109.7,111.66,108.99,110.11,11409,0,14490860000,35.02656740116984,4.062142857142858,-10.849323941381268,4.874571428571429,6.499428571428573,141.5418336948808,123.3,105.0581663051192,0.2958934905901186,1
306,1652140800,92.0,94.77,89.81,91.71,17055,0,26776310000,56.20048429672278,4.089999999999999,0.8134549851599372,4.907999999999999,6.543999999999999,95.12253710947148,88.15066666666667,81.17879622386187,0.1581807763103656,1
730,1705536000,151.19,152.34,148.89,151.79,7735,0,11098590000,49.62316267072661,4.607857142857148,1.247331910352191,5.529428571428578,7.372571428571438,159.49166724448466,150.676,141.86033275551532,0.1170148828543984,1
20,1616457600,52.9,53.44,52.08,52.44,14253,0,20761330000,43.20977362281223,2.0364285714285715,-6.440677966101695,2.443714285714285,3.2582857142857145,59.98950812627904,54.49699999999999,49.00449187372095,0.2015710268924543,1
526,1679875200,126.52,129.94,125.91,128.96,10711,0,17207290000,54.51228835121765,4.892142857142855,-0.975197727098197,5.870571428571426,7.827428571428569,132.31518379299135,126.75666666666666,121.19814954034196,0.0877037440711813,1
898,1726617600,164.36,167.02,162.27,164.7,4911,1,824460,45.02826961715814,4.921428571428572,-3.077737892073217,5.905714285714286,7.874285714285715,183.0417141368213,170.741,158.44028586317873,0.1440862374804093,1
436,1668384000,121.05,123.11,120.41,120.56,6353,0,10215220000,64.76645129153134,3.4757142857142838,8.183776022972006,4.17085714285714,5.561142857142854,122.9618007390858,112.11233333333334,101.26286592758088,0.1935463669905921,1
