,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
531,1680480000,153.2,159.99,153.2,159.48,11972,0,17299590000,59.1557212070631,4.5600000000000005,6.67558528428093,5.472,7.296000000000001,160.4629086411393,146.99266666666665,133.522424692194,0.1832777413994257,1
685,1699574400,69.6,70.28,67.86,70.05,10945,0,18742940000,32.66461822699577,3.842142857142856,-10.923194303153617,4.6105714285714265,6.14742857142857,111.97378253560822,85.58633333333333,59.19888413105844,0.6166276360853928,1
848,1720483200,116.41,118.83,115.4,116.05,5608,0,11283980000,33.679514810792824,5.509285714285716,-15.808183401044692,6.611142857142859,8.814857142857146,166.83686214613246,137.36633333333333,107.8958045205342,0.4290793544191924,1
138,1631145600,429.93,459.42,427.09,455.87,61277,0,133236920000,65.42264415761471,22.67357142857143,21.41316217008016,27.20828571428572,36.27771428571429,461.8729187627326,399.127,336.38108123726744,0.3144158063109364,1
528,1680048000,149.01,150.09,147.56,148.81,5361,0,7943040000,46.39204788827271,4.888571428571426,8.351536333187708,5.866285714285711,7.821714285714282,169.05860963901955,148.852,128.64539036098046,0.2714993367777328,1
703,1701907200,80.51,80.53,77.4,79.92,9243,0,16115390000,51.75006573915312,3.297142857142858,4.388714733542319,3.956571428571429,5.275428571428574,82.56625522057277,75.91933333333333,69.27241144609388,0.1751048539389907,1
77,1623628800,213.27,213.49,198.4,207.27,31673,0,72109480000,63.446714997944994,11.657857142857145,26.268656716417908,13.98942857142857,18.65257142857143,224.51487536854293,179.19466666666668,133.87445796479042,0.505820954885669,1
69,1622592000,183.36,194.5,183.28,191.52,29492,0,62492430000,68.75437240972414,7.937857142857145,25.39776075427226,9.525428571428574,12.700571428571433,191.34817712814683,169.57833333333335,147.80848953851986,0.2567526566264969,1
473,1673222400,181.8,188.18,177.27,183.99,11480,0,19883800000,51.004053406134034,10.855714285714289,-4.73749611680645,13.026857142857144,17.369142857142858,209.65485842856643,184.835,160.0151415714336,0.2685623223801381,1
11,1615334400,133.62,135.72,128.79,129.75,15382,0,29453230000,37.86518333001671,12.312857142857142,-23.48292740461166,14.77542857142857,19.70057142857143,196.72579743906192,159.08166666666665,121.43753589427136,0.4732679957555798,1
341,1656547200,143.39,147.36,135.52,142.85,17322,0,30692720000,54.27175917552064,9.249285714285715,6.572664876156373,11.09914285714286,14.798857142857145,153.42721860111533,136.84333333333333,120.25944806555134,0.2423776864216792,1
719,1704153600,99.58,115.68,99.4,112.54,38134,0,84676310000,79.73366659679088,6.144285714285715,37.227167418607486,7.373142857142858,9.830857142857145,103.17188040670028,84.89766666666667,66.62345292663305,0.4304997877452529,1
166,1634601600,339.27,346.86,331.01,333.62,20325,0,47873070000,42.83893585256671,22.36785714285714,-11.95967699371932,26.84142857142857,35.78857142857142,491.18248993838506,379.9366666666666,268.69084339494816,0.5856019333312664,1
597,1688947200,118.9,123.59,118.64,123.11,8906,0,16206930000,48.36955108884859,3.7914285714285705,-4.350866288555674,4.549714285714284,6.066285714285713,131.5875065398717,124.383,117.17849346012832,0.1158439101785886,1
89,1625011200,236.68,245.34,232.41,235.06,23654,0,54793400000,69.8337542105243,12.12,8.322580645161292,14.544,19.392,244.41679218140504,200.12866666666665,155.84054115192825,0.4425965180541025,1
948,1732665600,42.55,43.46,42.08,43.39,10305,1,2698690,42.56876189976472,3.147857142857144,-13.720421554981108,3.777428571428572,5.03657142857143,61.28901228579755,47.73566666666667,34.18232104753579,0.5678498517166429,1
419,1666224000,122.92,124.69,118.31,118.36,16761,0,29892670000,40.30645438738459,7.894285714285715,0.0760970660353457,9.473142857142856,12.630857142857144,142.69188544860165,127.79933333333334,112.906781218065,0.2330614992556297,1
157,1633478400,318.71,325.68,300.62,302.32,42148,0,95947070000,30.06455782283051,26.58428571428571,-31.429608292317813,31.90114285714285,42.534857142857135,482.259473582661,402.9906666666667,323.7218597506724,0.3934026937728629,1
676,1698624000,72.6,74.38,72.06,73.99,7778,0,13491630000,23.27176097492554,3.808571428571428,-29.15549597855228,4.570285714285713,6.093714285714285,116.52058365267088,93.98966666666666,71.45874968066245,0.479433916196551,1
857,1721606400,122.66,124.06,120.44,122.46,3880,0,6311790000,45.12748578773819,4.965714285714285,5.641821946169765,5.958857142857142,7.945142857142857,151.5906431624373,128.467,105.34335683756274,0.3599935105892918,1
944,1732147200,36.43,38.82,35.96,38.25,21447,1,5333533,25.422705626052547,3.2550000000000003,-29.983525535420103,3.906,5.208000000000001,64.11602652176956,49.755,35.39397347823045,0.5772696823141212,1
244,1644364800,154.37,164.23,154.17,164.01,12544,0,27243540000,38.52318682770232,12.772857142857143,-2.130325814536353,15.327428571428571,20.43657142857143,260.7822425393547,191.235,121.68775746064532,0.7273484721871487,1
422,1666656000,134.05,138.35,133.0,136.54,12331,0,21098690000,55.41914087301036,8.397142857142859,8.779477374123642,10.07657142857143,13.435428571428574,140.7876622628115,127.26766666666666,113.74767107052182,0.2124655216875431,1
455,1670803200,175.39,175.77,162.78,165.13,14761,0,24211990000,45.29812395431506,8.528571428571425,-6.584827742263967,10.23428571428571,13.64571428571428,194.30672104568103,171.9886666666667,149.67061228765235,0.2595293609929453,1
549,1682640000,130.24,133.26,129.02,132.89,8078,0,13211810000,33.97901153462713,5.842142857142859,-17.011178417535756,7.010571428571431,9.347428571428576,165.7641656278359,148.18033333333332,130.59650103883078,0.2373301759950494,1
821,1716940800,149.94,150.0,140.23,147.92,14751,0,24655970000,62.6107584019452,9.012857142857138,21.34536505332238,10.815428571428566,14.42057142857142,163.65333214054107,125.331,87.00866785945892,0.6115379617260067,1
250,1645056000,150.2,154.66,145.28,146.39,12200,0,23981280000,34.93200133772332,11.479285714285709,-8.248198057035427,13.775142857142848,18.36685714285713,226.67916401624072,173.7886666666667,120.89816931709268,0.6086760243234964,1
780,1711929600,106.01,106.65,103.55,105.61,7821,0,13111340000,53.67453147947435,3.769285714285714,-5.7810687840128505,4.523142857142857,6.030857142857143,114.69132375791683,100.77,86.84867624208314,0.2762989730657309,1
653,1695772800,98.56,100.33,97.91,99.47,5391,0,9601270000,39.01181913114224,4.463571428571429,-8.238007380073807,5.356285714285715,7.141714285714286,119.81523329216132,107.91633333333333,96.01743337450534,0.2205208348225566,1
797,1713916800,111.0,111.29,106.64,108.82,7757,0,13251290000,58.0772473700078,4.692857142857141,6.415020535888899,5.631428571428569,7.508571428571426,110.73904093408736,105.223,99.70695906591264,0.1048447760297154,1
598,1689033600,123.31,124.44,121.21,122.12,4900,0,8448740000,46.74073317359823,3.689999999999999,-1.7063747585318665,4.427999999999998,5.903999999999998,131.44455685689684,124.23833333333332,117.03210980976984,0.1160064422987564,1
161,1633996800,313.72,315.87,302.55,311.04,24352,0,60338360000,33.912956309534565,25.24571428571428,-29.42297656055001,30.294857142857136,40.393142857142855,495.41573644183904,392.31666666666666,289.2175968914943,0.5255910774893022,1
409,1665014400,124.75,127.64,122.94,125.1,5876,0,11320000000,43.01011293860454,6.124285714285713,-9.156923970662998,7.349142857142855,9.79885714285714,146.37466744351906,130.79933333333332,115.2239992231476,0.2381561696571196,1
773,1710892800,101.57,103.6,101.46,102.82,5648,0,9511400000,53.81018562036544,4.367142857142859,11.433835482822149,5.240571428571431,6.987428571428575,111.34702022137787,96.82233333333332,82.29764644528878,0.3000276152825186,1
747,1707696000,87.3,89.07,85.75,89.01,11897,0,19521170000,37.19740958441477,4.027857142857143,-12.692496321726336,4.833428571428572,6.444571428571429,115.08382670028168,102.23133333333334,89.37883996638499,0.2514394158401863,1
328,1654819200,132.93,134.69,124.53,127.16,17771,0,31683690000,40.72664959639334,9.120714285714284,-6.657858034206851,10.94485714285714,14.593142857142857,152.15043131511035,138.48666666666668,124.822902018223,0.1973296776841622,1
285,1649376000,157.19,165.18,156.6,160.91,15107,0,30164130000,47.696502491375895,10.47428571428571,-8.511485103479645,12.569142857142852,16.758857142857135,193.735877877482,159.678,125.62012212251798,0.4265819696825112,1
772,1710806400,103.29,105.55,103.05,105.0,3718,0,6904820000,57.15006848948549,4.491428571428573,7.6923076923076925,5.389714285714288,7.186285714285717,111.13357386002356,96.731,82.32842613997641,0.2977861049720065,1
85,1624492800,214.38,221.46,213.46,220.12,21503,0,52172330000,63.67807985856325,13.082857142857144,6.818071529092062,15.699428571428571,20.932571428571435,237.04484681301315,190.748,144.45115318698683,0.4854241912157733,1
716,1703635200,98.3,100.98,97.36,100.76,14475,0,25532630000,74.55395379802249,5.072857142857143,24.91941482767172,6.087428571428571,8.11657142857143,95.381880337328,82.10733333333334,68.83278632933869,0.3233461973513041,1
630,1692835200,114.93,115.37,112.58,112.64,7176,0,12007090000,52.2632277868221,5.399285714285715,4.103512014787428,6.4791428571428575,8.638857142857145,131.36299597171555,112.29099999999998,93.21900402828442,0.3396887724165885,1
947,1732579200,42.76,43.3,41.47,42.05,15649,1,4142249,39.037777898300966,3.5292857142857144,-18.83806215016407,4.235142857142857,5.646857142857144,62.10507373919366,48.20466666666666,34.304259594139666,0.5767245386695754,1
816,1716249600,139.48,143.87,138.1,143.7,6631,0,15646400000,78.19095450233917,6.652142857142854,28.92517495065494,7.982571428571425,10.643428571428569,140.7797758948217,116.39133333333332,92.00289077184496,0.4190766075622191,1
527,1679961600,147.87,149.66,146.18,146.94,6046,0,8599860000,43.732188526181545,5.199999999999997,3.4133295798437566,6.239999999999996,8.319999999999995,172.19766915305792,149.74666666666664,127.29566418027537,0.2998531184185462,1
7,1614816000,128.7,135.47,126.69,132.35,29331,0,59899940000,36.37438627273795,11.872857142857145,-27.847135146922536,14.247428571428571,18.99657142857143,194.29797828246177,160.633,126.96802171753824,0.4191539507132626,1
813,1715817600,129.68,133.04,127.84,132.7,7001,0,13885050000,71.19664756063594,6.0157142857142825,22.97284774348994,7.218857142857138,9.625142857142851,132.42258666510705,113.12633333333332,93.83008000155962,0.3411452093106594,1
193,1637884800,319.34,350.15,313.0,334.0,85657,0,197907230000,62.52993174435167,18.504999999999995,41.52542372881356,22.205999999999992,29.607999999999997,390.2241234088019,294.431,198.63787659119805,0.6506999834175201,1
360,1658966400,156.9,158.81,151.73,158.09,9635,0,17026800000,50.16420710711615,8.722857142857142,-10.288276018613097,10.46742857142857,13.95657142857143,185.9236679633443,154.57466666666667,123.22566536998906,0.4056162885252126,1
445,1669593600,176.77,184.22,174.67,175.41,10953,0,19711030000,62.61890710499603,8.064285714285713,6.898653178133947,9.677142857142856,12.902857142857142,198.37121812156727,158.046,117.72078187843266,0.510297231458782,1
332,1655337600,124.43,125.26,118.06,121.09,14967,0,26870780000,40.48617591443692,9.61285714285714,-10.825539435893653,11.53542857142857,15.380571428571429,151.50324284342932,135.49599999999998,119.48875715657064,0.2362762420061011,1
525,1679616000,152.05,152.57,149.91,151.05,5014,0,7486280000,48.40739679799332,5.132857142857142,4.903118272102231,6.1594285714285695,8.212571428571428,175.98079027042314,151.26133333333334,126.54187639624354,0.3268443612435405,1
873,1723507200,81.49,83.03,80.58,82.88,6510,0,12612440000,24.05687761129232,6.497142857142856,-29.863755606329867,7.796571428571427,10.395428571428573,143.18481787350302,109.51566666666668,75.84651545983033,0.6148736930820189,1
753,1708473600,86.1,88.58,85.53,87.6,12043,0,18812630000,39.9871154604747,4.277142857142857,-13.30166270783849,5.132571428571428,6.843428571428571,112.2331722130196,97.88566666666668,83.53816112031372,0.2931482419220985,1
353,1658188800,166.52,167.97,161.37,167.13,7415,0,14133890000,59.75076981415755,10.32785714285714,17.53991138617343,12.393428571428569,16.524571428571424,182.9689673635117,147.63133333333332,112.29369930315494,0.4787281023926047,1
728,1705363200,104.31,104.31,97.64,102.15,13824,0,26820090000,55.03737282043335,6.016428571428571,7.65096427442302,7.219714285714284,9.626285714285714,119.45124296234869,94.11333333333332,68.77542370431797,0.5384552588159387,1
364,1659484800,167.74,189.33,167.74,186.46,41791,0,77357260000,68.71182056850313,9.082857142857147,16.6687523463897,10.899428571428576,14.532571428571435,184.4518203080779,160.08166666666665,135.7115130252554,0.3044715131827871,1
466,1672185600,179.92,183.75,174.51,176.42,13261,0,23018000000,45.72829216510904,16.05,-1.3917612207255097,19.26,25.680000000000003,209.813026273343,185.394,160.97497372665694,0.2634284418410848,1
96,1626048000,230.98,242.39,229.3,239.31,20240,0,42063730000,66.54761376802401,12.546428571428567,14.920284287360731,15.055714285714282,20.07428571428571,246.8596118517249,215.31833333333333,183.77705481494172,0.2929734596223413,1
552,1683072000,130.59,132.89,129.85,130.08,10260,0,14233360000,31.82553481940802,5.115714285714286,-18.95327102803737,6.138857142857143,8.185142857142857,166.1047142214948,146.141,126.17728577850518,0.2732116821630453,1
794,1713484800,102.31,103.8,100.45,101.42,6145,0,10205790000,45.46527150484532,4.7142857142857135,-3.967427326957672,5.657142857142856,7.542857142857142,111.50228849974842,105.35766666666667,99.21304483358492,0.1166430887753476,1
760,1709251200,92.75,96.89,92.11,95.02,11199,0,19427400000,50.38933399285649,5.193571428571429,8.706097700491934,6.232285714285715,8.309714285714287,107.29398026372871,95.77466666666668,84.25535306960462,0.2405503250072124,1
316,1653350400,136.39,136.5,126.77,132.07,14495,0,27062780000,43.06494632257415,10.712857142857144,-14.853974598671924,12.855428571428574,17.14057142857143,164.14032380927586,143.25433333333334,122.3683428573908,0.291593140534795,1
71,1622764800,197.9,207.38,197.34,206.07,31455,0,68167350000,74.98467980597403,8.084285714285715,27.6924030239187,9.701142857142855,12.934857142857144,198.70092348193265,171.699,144.6970765180674,0.3145262754230671,1
430,1667520000,153.19,160.74,152.1,158.3,19002,0,33050340000,65.92045901992884,8.226428571428574,13.688595231255388,9.871714285714289,13.16228571428572,156.8244362913072,132.3273333333333,107.83023037535943,0.3702500812325075,1
38,1618790400,166.75,168.2,159.6,161.89,25555,0,53835370000,61.31932642268703,9.037857142857144,31.16998865661966,10.845428571428574,14.460571428571434,164.50850513822283,139.72066666666666,114.93282819511047,0.3548199284031879,1
715,1703548800,96.39,97.77,94.34,97.31,9575,0,18483060000,71.66298504078028,5.272857142857142,24.246680286006143,6.3274285714285705,8.436571428571428,93.06451557749334,81.08966666666667,69.11481775584001,0.2953483323603089,1
