,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
876,1723766400,49.4,50.34,49.11,50.22,18061,0,41283680000,65.46807026681154,1.6749999999999996,6.218274111675122,2.01,2.68,50.428664963423,47.531333333333336,44.63400170324367,0.1219124912726903,1
624,1692144000,38.45,38.67,38.21,38.29,18359,0,35376010000,30.17326491254288,0.8321428571428565,-9.093067426400756,0.9985714285714278,1.3314285714285703,46.28646258062832,42.12800000000001,37.9695374193717,0.1974203655824301,1
74,1623196800,70.04,70.76,69.98,69.99,12338,0,20254980000,48.15255144261026,1.2314285714285742,-4.969450101833008,1.477714285714289,1.9702857142857189,77.65928606139956,69.93599999999999,62.21271393860043,0.2208672518130737,1
130,1630022400,56.65,58.25,56.33,58.19,15769,0,27587760000,44.4185888973562,1.1657142857142868,-1.12149532710281,1.398857142857144,1.865142857142859,63.514788057466326,59.547,55.57921194253368,0.1332657583913991,1
530,1680220800,48.91,49.04,48.47,49.01,14830,0,26746400000,60.65431502715145,1.3214285714285705,8.501217622315687,1.5857142857142843,2.114285714285713,50.09255618436584,45.54166666666666,40.99077714896749,0.1998560812896253,1
708,1702512000,40.97,41.69,40.83,41.16,41403,0,81747130000,61.711639798980656,1.2871428571428558,10.082909868948905,1.544571428571427,2.0594285714285694,42.275082164742685,38.010666666666665,33.746251168590646,0.2243799371093738,1
209,1639958400,58.7,58.98,58.09,58.7,15007,0,25015070000,59.28789003752023,1.7971428571428574,6.921675774134799,2.1565714285714286,2.875428571428572,59.8499393710567,56.57333333333334,53.296727295609976,0.1158357072020985,1
540,1681689600,48.98,49.0,48.22,48.47,25522,0,44689420000,48.75895577295448,1.3442857142857148,0.5393071976768263,1.6131428571428577,2.150857142857144,53.55759717651772,47.61933333333334,41.68106949014896,0.249405584980234,1
775,1711065600,34.21,34.28,33.77,33.83,13500,0,35098930000,50.6698062861331,0.9114285714285718,1.0755900806692542,1.093714285714286,1.458285714285715,35.90315177619782,32.97433333333333,30.045514890468837,0.1776423142968465,1
444,1669334400,46.37,46.59,45.8,45.86,7336,0,13958510000,58.45543475793897,1.4457142857142864,11.744639376218323,1.7348571428571435,2.3131428571428585,47.87860203021864,43.23266666666667,38.58673130311469,0.2149270781454753,1
595,1688601600,42.0,42.1,41.05,41.55,22192,0,38848790000,43.40613948482096,1.039285714285715,-1.306413301662718,1.247142857142858,1.662857142857144,43.58496411947663,42.018,40.45103588052337,0.0745853738624698,1
568,1684972800,41.2,41.2,40.61,40.63,33912,0,61298220000,26.653484403806743,1.1564285714285722,-16.62220398112045,1.3877142857142866,1.850285714285716,51.40258436095793,46.61866666666666,41.834748972375394,0.20523614407496,1
126,1629676800,57.2,58.17,56.75,57.8,17822,0,28151160000,38.77245587387039,1.2614285714285722,-7.77086325195469,1.513714285714287,2.018285714285716,64.45399262970413,60.306666666666665,56.1593407036292,0.1375412103594119,1
826,1717545600,40.7,41.13,40.36,41.11,14425,0,29525640000,47.748211916881445,1.0364285714285724,-4.859986114325391,1.2437142857142869,1.658285714285716,44.418257296644654,41.997,39.57574270335535,0.1153062026642214,1
757,1708992000,30.19,30.25,29.75,29.86,35467,0,79779250000,29.04356430571121,1.054285714285714,-11.289364230540691,1.265142857142857,1.6868571428571426,36.63743951185637,33.556999999999995,30.476560488143612,0.1835944519388728,1
201,1638921600,55.62,56.48,55.3,56.36,15307,0,25239420000,53.01125037660176,1.3842857142857146,-2.7940669196274537,1.6611428571428577,2.2148571428571437,59.18089077329496,56.053,52.92510922670505,0.1116047588280719,1
122,1629158400,58.67,59.21,58.37,58.87,14924,0,23834050000,37.39859059133165,1.2035714285714303,-4.848876676903184,1.4442857142857164,1.9257142857142888,64.76423499066813,61.17333333333333,57.58243167599854,0.1174008824324801,1
756,1708905600,30.63,30.82,29.74,30.01,48348,0,128799670000,29.52112423075104,1.0657142857142858,-10.014992503748124,1.278857142857143,1.7051428571428575,36.91875722812716,33.81633333333333,30.713909438539503,0.1834867112417367,1
484,1674604800,53.02,55.41,52.95,55.1,19018,0,33731600000,67.5157701082101,1.7835714285714286,6.969520481459917,2.140285714285714,2.853714285714286,56.13538368253374,50.04566666666666,43.95594965079958,0.2433664059838846,1
915,1728604800,53.74,54.59,53.73,54.3,11894,1,2428517,58.2322363722142,1.159285714285716,-0.3486878326298492,1.3911428571428592,1.8548571428571456,55.894949279494654,53.182,50.46905072050535,0.1020250941858016,1
