,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
107,1627344000,338.2,341.2,335.76,340.91,1304,0,1711690000,73.77852207196696,4.775714285714287,3.0531120582811955,5.730857142857144,7.641142857142859,341.3307904903332,326.7593333333333,312.1878761763335,0.0891877028169549,1
793,1713398400,197.11,197.89,193.94,196.07,1656,0,2403830000,31.221113824747437,5.430000000000002,-9.520073834794646,6.516000000000003,8.688000000000004,228.45459830000135,212.592,196.7294016999986,0.1492304348235248,1
135,1630627200,366.11,368.19,362.93,366.35,2267,0,2855270000,67.84890394537307,6.375714285714277,3.952670109528405,7.650857142857132,10.201142857142845,368.2552576375634,351.2413333333334,334.22740902910334,0.0968788276867379,1
575,1686009600,224.11,224.98,220.82,224.0,1821,0,2011950000,37.49350542706481,5.352142857142853,-3.35246149199638,6.422571428571424,8.563428571428565,258.6847319231084,235.52866666666665,212.3726014102249,0.1966305467963564,1
90,1625097600,318.55,322.08,316.36,320.03,1829,0,2378190000,60.14641369194318,4.911428571428567,0.8254308307866631,5.89371428571428,7.858285714285706,332.38835634228934,312.25866666666667,292.128976991044,0.1289295819424665,1
663,1696982400,196.39,202.34,195.11,201.59,4119,0,5150340000,46.55432872848056,5.112857142857147,-1.5048614843406385,6.135428571428577,8.180571428571437,230.9252109165732,207.672,184.4187890834268,0.223941705348561,1
250,1645056000,304.08,305.23,294.58,295.83,2455,0,3149430000,28.80675908162057,7.185000000000007,-6.90729435458493,8.622000000000007,11.496000000000013,347.7531803837165,322.572,297.3908196162835,0.1561275025961117,1
964,1734652800,200.0,204.58,199.87,203.57,3030,1,1481634,31.48219422576217,4.762857142857142,-8.688436350587605,5.7154285714285695,7.620571428571427,232.7709901550544,218.3113333333333,203.85167651161217,0.1324682195920913,1
334,1655769600,295.0,303.94,294.0,303.13,1326,0,1724500000,39.64464653629493,11.835,-9.946228573126174,14.201999999999998,18.936,356.0867904549327,324.43733333333336,292.787876211734,0.1951036694601486,1
374,1660694400,345.07,350.54,344.79,346.9,1040,0,1237880000,58.454014192500765,7.158571428571427,3.666736395421804,8.590285714285711,11.453714285714284,358.19871989607594,332.339,306.47928010392405,0.1556225414175041,1
256,1646006400,304.37,305.87,299.14,303.39,1833,0,2192180000,42.11885859877824,8.921428571428565,-5.644709833924249,10.705714285714278,14.274285714285703,335.801064270286,313.83933333333334,291.87760239638067,0.1399552484622875,1
58,1621209600,288.21,288.98,285.7,288.5,1073,0,1296760000,50.158171436709054,5.159999999999992,-2.097190172390392,6.19199999999999,8.255999999999988,302.72087539946574,289.84600000000006,276.9711246005344,0.0888394209301882,1
754,1708560000,207.47,211.34,206.39,211.22,3146,0,4487770000,37.34355809403518,5.081428571428573,-8.535053912441002,6.097714285714287,8.130285714285717,245.45958289061525,223.5256666666667,201.5917504427181,0.1962541174894029,1
535,1681084800,258.02,261.84,255.22,261.74,1239,0,1526930000,53.67828750385051,5.820714285714276,1.7612067960032771,6.984857142857131,9.31314285714284,265.1152050189061,254.16233333333332,243.20946164776052,0.086188000731077,1
732,1705881600,232.02,236.61,231.27,233.78,1812,0,2298210000,38.00801555234437,5.116428571428569,-7.880841673890772,6.139714285714283,8.186285714285711,259.61458920845723,245.61533333333333,231.61607745820945,0.1139933381612215,1
65,1621987200,298.91,301.64,295.67,298.53,1796,0,1964850000,61.37357578140384,6.3671428571428565,2.432747735382917,7.640571428571428,10.18742857142857,301.70530155474665,292.8133333333334,283.9213651119201,0.0607347221534533,1
844,1719878400,190.15,190.53,187.06,189.0,3101,0,4779730000,41.31661568565445,4.6014285714285705,-1.7211793458478508,5.5217142857142845,7.362285714285713,200.71774410402975,193.643,186.56825589597025,0.0730699700379541,1
