,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
360,1658966400,51.7,53.3,50.26,53.15,1335,0,2055220000,70.73125289637927,2.162142857142857,31.266979501111376,2.5945714285714283,3.459428571428571,52.80467726367506,43.95033333333333,35.095989402991606,0.402924995502881,1
403,1664323200,53.51,55.89,53.2,55.65,1162,0,1469440000,41.48275828922676,2.9207142857142863,-14.331896551724132,3.504857142857144,4.673142857142858,75.61894499704971,63.419,51.2190550029503,0.3847410081221623,1
74,1623196800,36.85,36.98,36.28,36.32,308,0,421810000,50.27292739254166,0.7585714285714289,1.3958682300390843,0.9102857142857146,1.2137142857142864,38.05008151397056,36.059666666666665,34.06925181936277,0.1103956320896234,1
576,1686096000,244.02,261.65,237.0,239.79,12598,0,25370420000,80.10694204714008,17.12928571428571,55.47558840692473,20.55514285714285,27.406857142857135,255.65573135443609,162.80366666666666,69.95160197889724,1.1406630647684357,1
872,1723420800,511.5,564.0,510.47,541.3,22420,0,45688420000,30.190942964233784,61.11142857142857,-30.90639878483081,73.33371428571428,97.77828571428572,1005.977903586132,745.1716666666666,484.3654297472011,0.6999896764355387,1
164,1634256000,36.36,36.71,35.39,35.44,575,0,718710000,40.9031320638294,1.0064285714285712,-6.268183020364994,1.2077142857142855,1.610285714285714,38.03757995336434,36.797,35.556420046635665,0.0674283204263575,1
564,1684454400,167.3,171.67,160.24,164.14,8617,0,14585200000,79.48328500427355,9.302142857142858,56.14535768645356,11.162571428571429,14.883428571428574,162.23529400237595,121.21666666666668,80.19803933095739,0.6767819717152639,1
633,1693267200,253.74,277.59,251.01,261.59,10763,0,19695750000,45.65079777129958,19.110714285714284,-1.7059331905459816,22.93285714285714,30.577142857142857,363.0390542746361,292.07300000000004,221.106945725364,0.4859473780502549,1
102,1626739200,35.03,35.92,34.79,34.83,544,0,878710000,49.62666563124039,1.01,-1.5823679005368814,1.212,1.616,37.0040859010924,35.075,33.1459140989076,0.1099977705540926,1
373,1660608000,66.33,66.92,65.46,66.05,2156,0,3424310000,76.49433943678011,3.5135714285714283,28.551965745426223,4.216285714285714,5.621714285714286,69.9954771082439,51.806333333333335,33.617189558422766,0.7021976891465227,1
515,1678406400,98.01,98.01,92.1,92.7,6299,0,9640000000,49.81400220620672,5.389285714285717,0.7937370881809329,6.46714285714286,8.622857142857148,107.82573989981842,90.38233333333334,72.93892676684825,0.385991507923416,1
190,1637539200,42.33,43.49,42.13,42.21,494,0,769140000,55.7513619067424,1.591428571428572,2.3272727272727294,1.9097142857142864,2.546285714285716,48.24090820973052,39.60966666666668,30.978425123602836,0.4358149042606017,1
705,1702252800,263.04,270.64,257.02,262.24,7098,0,14118110000,45.74524391973022,15.280000000000006,-13.988651644855516,18.33600000000001,24.44800000000001,305.2863157578089,269.6716666666667,234.0570175755244,0.2641334147659235,1
211,1640131200,42.96,42.98,42.23,42.53,593,0,1104450000,53.29400429672604,1.3221428571428575,-0.6076186024772097,1.586571428571429,2.115428571428572,44.479319893323016,42.47866666666666,40.47801344001031,0.0941956696689956,1
13,1615507200,34.99,36.63,34.99,36.4,690,0,884850000,65.94909807779119,1.4121428571428571,14.35752434809928,1.6945714285714286,2.259428571428572,35.97234443515735,33.160333333333334,30.34832223150931,0.1696008947532104,1
442,1669075200,83.88,87.89,83.04,87.87,2454,0,4075070000,67.0102132358771,4.730714285714285,10.03005259203607,5.676857142857142,7.569142857142856,94.95001880740756,71.94,48.92998119259242,0.6397002726552009,1
591,1687996800,241.0,248.82,231.35,235.93,8231,0,13781510000,61.13318479913675,16.35571428571429,-7.329431635178128,19.626857142857144,26.169142857142862,280.28777265308656,218.374,156.4602273469134,0.5670434452186303,1
636,1693526400,278.26,283.34,266.55,282.14,10019,0,20511810000,53.03160739462227,18.11142857142857,4.690166975881257,21.73371428571428,28.97828571428571,360.5503738428943,289.247,217.9436261571057,0.4930275774192597,1
296,1650931200,42.14,42.62,41.05,41.32,906,0,1223830000,54.720506266953976,2.0092857142857143,13.32967635765222,2.411142857142857,3.2148571428571437,46.58202354508602,39.974,33.36597645491399,0.3306160777048087,1
93,1625616000,35.11,35.11,34.08,34.27,465,0,551830000,39.91025285949471,0.9721428571428566,-4.166666666666653,1.166571428571428,1.5554285714285707,37.2420326388854,35.596000000000004,33.94996736111461,0.0924841352334753,1
720,1704240000,277.23,287.89,276.52,280.88,4501,0,7291870000,47.56309820804212,14.522142857142851,5.892554194156455,17.426571428571425,23.235428571428567,318.5742965100831,284.88433333333336,251.19437015658363,0.2365167840755235,1
266,1647216000,41.36,41.36,40.18,40.52,674,0,763110000,49.55777763054565,1.5714285714285714,3.420112302195006,1.8857142857142857,2.5142857142857142,42.94232848629251,39.97966666666667,37.01700484704082,0.1482084302666777,1
295,1650844800,42.04,43.14,41.7,42.77,648,0,889300000,60.46423025690585,1.9985714285714284,13.208046585494976,2.398285714285714,3.197714285714285,46.53931787745071,39.947333333333326,33.355348789215945,0.3300337716719038,1
288,1649808000,35.2,35.78,34.9,35.6,300,0,445110000,32.05818349727397,1.4221428571428574,-16.136631330977625,1.7065714285714289,2.275428571428572,45.629123162032485,39.89666666666667,34.16421017130085,0.2873651848290993,1
555,1683504000,137.18,139.24,134.39,136.63,4785,0,7695930000,71.49259039920895,8.140714285714289,17.91663070682661,9.768857142857144,13.025142857142862,132.88379734983275,109.74766666666666,86.61153598350057,0.4216241016483161,1
207,1639612800,42.52,42.88,41.41,41.57,814,0,1536510000,47.95009920246441,1.3592857142857144,2.8196883502349754,1.6311428571428572,2.1748571428571437,46.03324028027991,43.01733333333333,40.001426386386754,0.1402182196454101,1
27,1617235200,39.33,39.6,38.84,39.6,768,0,1105970000,67.68045097791405,1.053571428571429,8.791208791208799,1.264285714285715,1.6857142857142866,40.69897530658226,35.76266666666667,30.82635802675107,0.2760593154825663,1
648,1695168000,248.0,254.68,242.39,242.99,4770,0,8312510000,38.738158880744365,13.897142857142862,-9.359146523425837,16.676571428571435,22.23542857142858,287.81735904388967,263.13466666666665,238.45197428944363,0.1876050213367782,1
256,1646006400,39.63,40.66,38.9,39.24,959,0,1377750000,45.84207862180041,1.2692857142857137,3.3447458519884203,1.523142857142856,2.030857142857142,44.2955028097736,40.106,35.91649719022641,0.208921498517608,1
103,1626825600,34.64,35.35,34.59,35.18,333,0,538330000,52.0278442831726,1.017142857142857,0.028433323855553,1.220571428571428,1.6274285714285708,36.83260719064738,35.02,33.20739280935261,0.1035184003796335,1
235,1643241600,39.7,40.07,38.5,38.76,591,0,730590000,32.23739468738803,1.7649999999999997,-14.019520851818989,2.1179999999999994,2.8239999999999994,47.7521380805834,43.306666666666665,38.86119525274993,0.2053019433766965,1
416,1665964800,54.84,56.41,54.84,56.12,1068,0,1415830000,46.75747950564379,3.0164285714285706,4.838408369138794,3.619714285714284,4.826285714285714,67.5565006497866,58.462,49.3674993502134,0.3111251975569292,1
521,1679270400,97.75,100.39,97.58,98.58,3401,0,6122420000,56.77418241184268,4.960714285714288,0.6534613028384731,5.9528571428571455,7.937142857142861,104.75723095218224,93.71633333333332,82.67543571448442,0.2356237643139168,1
