,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
597,1688947200,276.47,277.52,265.1,269.5,280244,0,846186580000,62.61636857142381,12.26857142857143,3.4390112842557685,14.722285714285716,19.62971428571429,299.5512416797571,244.39866666666663,189.24609165357623,0.4513328633524222,1
685,1699574400,210.03,215.38,205.69,214.69,284888,0,931244910000,42.57526294628593,9.406428571428576,1.2545394519643431,11.287714285714292,15.050285714285724,277.2644540846356,231.39266666666663,185.52087924869772,0.3964843664129565,1
869,1722988800,200.77,203.5,191.48,191.67,156663,0,441368860000,37.194233932637225,14.36142857142857,-23.110558408215667,17.233714285714285,22.978285714285715,275.0807580291887,230.0293333333333,184.97790863747795,0.3917015629530324,1
623,1692057600,238.65,240.5,232.62,232.94,184304,0,607694630000,34.79517349040896,9.199999999999998,-11.92195712179076,11.039999999999996,14.719999999999995,295.3393375745076,264.084,232.8286624254924,0.2367075443760895,1
285,1649376000,347.74,349.48,340.81,341.83,36161,0,239449200000,54.23970397067128,16.593571428571437,11.222099303702745,19.912285714285723,26.549714285714305,393.2494219321945,314.214,235.17857806780552,0.503067475874369,1
326,1654646400,240.09,249.96,239.18,241.84,60226,0,394471560000,44.75986431040894,16.876428571428573,2.1585772821357723,20.25171428571429,27.00228571428572,313.06115999416124,256.531,200.0008400058388,0.4407277092761594,1
636,1693526400,257.21,259.08,242.51,244.94,277812,0,900000370000,49.53897816769586,10.686428571428564,2.156233056679312,12.823714285714276,17.098285714285705,276.3645300720354,246.89933333333332,217.4341365946313,0.2386818655271275,1
187,1637020800,334.44,352.4,334.06,351.51,52515,0,335133390000,54.453754957424174,22.14357142857142,1.5924855491329457,26.5722857142857,35.42971428571428,429.0686570542758,328.54766666666666,228.02667627905757,0.6119111507164914,1
523,1679443200,198.13,200.61,189.8,190.5,261998,0,817258860000,52.85068718947986,9.05642857142857,-0.1938492167443833,10.867714285714284,14.490285714285712,217.02938786720037,193.971,170.9126121327997,0.2377508789169549,1
354,1658275200,246.93,250.66,243.48,247.43,60831,0,373830180000,55.273056122303394,11.595714285714292,8.331873905429072,13.91485714285715,18.55314285714287,253.60306127046695,234.6723333333333,215.7416053961997,0.1613375353475865,1
737,1706486400,185.64,191.48,183.67,190.97,271196,0,856123850000,27.482550686067118,9.342142857142855,-20.564868349902248,11.210571428571424,14.947428571428569,277.4158156962076,231.5793333333333,185.742850970459,0.3958598697311012,1
811,1715644800,174.59,179.49,174.07,177.55,173757,0,556303000000,53.57340231574221,9.109285714285717,9.477124183006538,10.93114285714286,14.574857142857148,193.9215146014978,169.21866666666665,144.5158187318355,0.2919636281438353,1
954,1733443200,377.27,389.49,370.8,389.22,160315,1,44324747,73.25142308884892,15.757857142857144,21.358194063357445,18.90942857142857,25.212571428571437,400.8108642854737,316.277,231.74313571452623,0.534555875295856,1
503,1677024000,197.93,201.99,191.78,200.86,455678,0,1420739020000,60.43974744670969,12.107857142857142,10.70936449319297,14.52942857142857,19.37257142857143,235.8642138896651,170.0773333333333,104.29045277700152,0.7736113833275663,1
414,1665619200,208.34,222.99,206.31,221.83,193423,0,529050520000,29.453357647781672,14.11857142857143,-19.44878172773157,16.942285714285717,22.58971428571429,331.9872323120073,271.2056666666667,210.42410102132607,0.448232268834161,1
442,1669075200,168.66,170.92,166.19,169.91,189519,0,519966850000,29.84105471805985,11.137142857142855,-21.337962962962965,13.364571428571429,17.81942857142857,242.0667497588032,205.302,168.53725024119686,0.3581528651333466,1
392,1663027200,292.9,297.39,290.58,292.11,126496,0,333140290000,53.28408893798836,10.860714285714286,-1.467314308844352,13.032857142857145,17.377142857142857,314.3750421816508,292.5266666666667,270.67829115168263,0.1493769833974161,1
694,1700784000,233.75,238.76,232.33,235.52,147962,0,462799700000,53.78479171646562,10.496428571428565,7.249544626593813,12.595714285714278,16.794285714285703,256.52055304176787,224.51066666666665,192.50078029156543,0.2851524771660549,1
224,1641772800,333.33,353.03,326.67,352.82,57974,0,378256500000,50.50076697374019,22.317857142857147,17.59490717594908,26.78142857142857,35.70857142857144,395.7073052519234,347.55033333333336,299.3933614147433,0.2771222887730796,1
654,1695859200,240.03,247.56,238.66,246.37,244436,0,856911900000,45.50761960245366,10.475714285714291,-0.8411816791435255,12.570857142857149,16.761142857142868,281.86351835909744,250.145,218.42648164090247,0.2536010582589895,1
582,1686787200,248.49,258.95,247.3,255.81,339907,0,1084772030000,84.66675850753255,10.687142857142856,38.7180738571661,12.824571428571426,17.09942857142857,262.0244690475329,199.01566666666668,136.00686428580048,0.6332044450188966,1
411,1665360000,224.0,227.0,218.36,222.94,144113,0,411007270000,27.032234891788505,14.768571428571432,-27.77399812097062,17.722285714285718,23.629714285714293,326.53120974125017,277.2873333333334,228.0434569254166,0.3551830212793717,1
713,1703116800,251.9,254.8,248.55,254.48,243523,0,787174910000,60.02812595640824,8.466428571428574,6.579553545252745,10.159714285714289,13.54628571428572,260.02006624185464,239.35100000000003,218.68193375814545,0.1727092532878877,1
244,1644278400,301.84,308.76,298.33,307.22,34027,0,213751140000,45.13604293055919,20.67571428571429,-7.430396528865845,24.81085714285715,33.08114285714287,394.2151592890213,333.1766666666667,272.1381740443121,0.3664031652217816,1
366,1659657600,302.85,304.28,285.54,288.1,90821,0,524668260000,59.90381108201744,13.69071428571428,19.7672001662856,16.428857142857137,21.90514285714285,309.92936743146123,256.859,203.78863256853876,0.4132256797033489,1
266,1647216000,263.04,264.52,252.02,254.33,29649,0,199796040000,37.61881218759984,18.252142857142857,-10.96758384092978,21.902571428571427,29.20342857142857,322.06862395102115,288.003,253.93737604897885,0.2365643687810276,1
