,time,open,high,low,close,tick_volume,spread,real_volume,RSI,ATR,ROC,upper_gap,lower_gap,BB_UPPER,BB_MIDDLE,BB_LOWER,Bandwith,buy
848,1720483200,631.7,636.06,626.0,627.41,877,0,1130440000,43.94509752161286,18.52000000000001,1.3275408194576646,22.22400000000001,29.632000000000023,668.4075338337191,640.2883333333334,612.1691328329478,0.0878329309984376,1
747,1707696000,653.04,673.68,651.03,663.84,1060,0,1570150000,68.57343942473251,21.012142857142862,14.837303440759769,25.21457142857144,33.61942857142858,688.3117345211945,597.727,507.1422654788054,0.3030973488605819,1
313,1652918400,268.53,278.57,268.53,272.69,2173,0,2831250000,34.87636572130066,14.987142857142866,-13.956203458286009,17.98457142857144,23.979428571428585,352.2366419611414,309.249,266.26135803885865,0.2780131347952063,1
39,1618876800,321.0,322.08,304.3,310.67,3635,0,4863370000,44.16869534203354,10.27,-6.764502866060432,12.324000000000002,16.432000000000002,339.3729074896986,319.777,300.18109251030137,0.1225598306926303,1
468,1672358400,353.87,356.63,350.66,355.4,1071,0,1339330000,53.12426179934316,9.598571428571429,0.8055366462446037,11.518285714285714,15.357714285714287,366.425541384833,354.25100000000003,342.07645861516704,0.0687339845749651,1
600,1689206400,467.3,469.73,458.08,458.27,2516,0,3142980000,67.88680406937985,12.783571428571433,13.86721661780053,15.340285714285717,20.45371428571429,478.9533701446502,410.17166666666674,341.3899631886833,0.3353800814032341,1
721,1704326400,547.16,558.26,546.69,549.07,1291,0,1679520000,56.27694832335933,16.148571428571433,3.553175037247992,19.37828571428572,25.83771428571429,615.1855971684868,523.2116666666667,431.2377361648466,0.3515744634968769,1
831,1718150400,647.74,668.32,623.31,625.81,3370,0,4480760000,39.24906828734516,23.066428571428585,-8.362619340479121,27.6797142857143,36.90628571428574,716.6489612732779,667.382,618.115038726722,0.147642463456545,1
505,1677196800,440.88,451.62,439.06,450.71,1742,0,2061820000,59.11253194246349,10.963571428571424,-0.9493879524426948,13.15628571428571,17.54171428571428,493.1076972547515,431.965,370.82230274524846,0.2830909784577524,1
487,1675036800,431.37,437.29,428.56,429.18,2356,0,2861590000,73.60849505722902,11.88428571428572,14.143617021276595,14.261142857142865,19.01485714285715,424.6974379150898,376.4866666666666,328.2758954182434,0.2561087842779198,1
42,1619136000,312.62,320.55,311.45,319.0,2935,0,3628210000,50.91824611601952,10.386428571428572,-3.776544401544396,12.463714285714287,16.618285714285715,337.15385641533084,320.99466666666666,304.8354769180025,0.1006819827660532,1
748,1707782400,638.0,645.57,629.64,636.88,1777,0,2363360000,57.48380919756465,22.35357142857144,10.377816291161178,26.824285714285725,35.7657142857143,691.0424737655055,599.8296666666666,508.6168595678277,0.3041290291816362,1
304,1651795200,300.19,302.65,288.25,295.42,3264,0,4547670000,37.070431461419695,15.318571428571431,-13.011984334972468,18.38228571428572,24.50971428571429,371.8187811618689,330.07033333333334,288.32188550479776,0.2529669807457334,1
9,1615161600,303.91,308.14,300.48,302.61,2754,0,3666540000,60.79928825440504,14.972142857142858,4.916270845612456,17.966571428571427,23.955428571428573,320.72294222839605,277.701,234.679057771604,0.3098436248223523,1
332,1655337600,256.96,256.96,243.12,245.45,3189,0,4872640000,31.089883025374164,11.862857142857129,-13.849987715418916,14.235428571428557,18.980571428571405,316.9385056983928,285.185,253.4314943016072,0.2226870676816299,1
81,1623974400,288.25,291.32,285.59,288.95,4306,0,5460020000,31.4483326034467,10.576428571428584,-13.475071118430904,12.6917142857143,16.92228571428573,355.4818312782799,324.38266666666664,293.28350205505336,0.1917436892124113,1
